"statni_zkouska_id";"cislo_terminu";"predmet_cislo";"datum";"hodnoceni"
"348672041505";"1";"1";"";"3"
"348672043005";"1";"1";"2012-06-22";"1.5"
"348673415805";"1";"1";"";"2.5"
"348673642005";"1";"1";"";"1"
"348912312805";"1";"1";"2012-06-08";"1"
"348912314005";"1";"1";"";"2.5"
"348912485505";"1";"1";"2012-06-22";"2.5"
"348912486105";"1";"1";"";""
"348912497805";"1";"1";"2012-06-07";"1.5"
"348912500505";"1";"1";"2012-06-07";"2.5"
"348912501805";"1";"1";"2012-06-07";"1.5"
"348912571905";"1";"1";"";""
"348912642805";"1";"1";"";""
"348912711005";"1";"1";"2012-06-21";"2.5"
"348912752305";"1";"1";"2012-06-08";"1"
"348912852405";"1";"1";"2012-08-30";"3"
"348912874005";"1";"1";"";""
"348912990705";"1";"1";"2012-06-06";"1.5"
"348913102905";"1";"1";"";""
"348913665505";"1";"1";"2012-06-22";"3"
"348914242505";"1";"1";"";"2.5"
"349154835805";"1";"1";"2012-06-06";"1.5"
"349154863205";"1";"1";"";"2"
"349394470205";"1";"1";"2012-06-07";"2"
"349394475305";"1";"1";"2012-06-07";"1"
"349394513505";"1";"1";"2012-06-07";"2.5"
"349635582205";"1";"1";"2012-06-07";"2"
"349636284905";"1";"1";"2012-08-30";"2"
"349636324905";"1";"1";"2012-06-07";"2.5"
"349636336305";"1";"1";"2012-06-21";"2"
"349636345805";"1";"1";"2012-06-22";"3"
"349636352605";"1";"1";"2012-06-22";"2"
"349636359105";"1";"1";"2012-06-22";"2.5"
"349636378305";"1";"1";"";"2"
"349636429705";"1";"1";"2012-06-22";"1.5"
"349636436405";"1";"1";"2012-06-22";"2.5"
"349636446905";"1";"1";"2012-06-07";"2.5"
"349636453605";"1";"1";"2012-06-07";"2"
"349636562305";"1";"1";"";""
"349636742205";"1";"1";"2012-06-22";"2"
"349637031805";"1";"1";"";"2"
"349637396605";"1";"1";"2012-06-22";"2"
"349637867605";"1";"1";"2012-06-08";"1"
"349880236705";"1";"1";"";""
"349880703905";"1";"1";"2012-06-08";"2"
"350369254805";"1";"1";"2012-06-22";"2.5"
"351781999205";"1";"1";"";"1"
"353722364505";"1";"1";"2012-06-07";"2.5"
"353965370605";"1";"1";"2012-06-21";"2.5"
"354940865705";"1";"1";"2012-06-08";"1.5"
"354940890905";"1";"1";"2012-06-08";"1.5"
"354940903205";"1";"1";"2012-06-08";"1"
"354940921005";"1";"1";"2012-06-08";"1"
"354941272005";"1";"1";"2012-06-21";"1.5"
"354941371905";"1";"1";"2012-06-21";"3"
"355928678805";"1";"1";"2012-08-30";"2"
"356171567005";"1";"1";"";"2"
"356418563905";"1";"1";"2012-06-07";"1.5"
"357160802005";"1";"1";"2012-06-06";"1"
"358656570205";"1";"1";"";"2.5"
"358891016005";"1";"1";"2012-06-06";"1.5"
"359829833705";"1";"1";"";""
"359829834205";"1";"1";"";""
"359830283805";"1";"1";"";"1.5"
"361480408305";"1";"1";"2012-06-22";"1.5"
"361480590305";"1";"1";"";""
"361953952105";"1";"1";"2012-06-22";"2.5"
"361955876605";"1";"1";"";""
"363139236605";"1";"1";"2012-06-06";"2.5"
"365273802405";"1";"1";"";""
"368788199105";"1";"1";"";"1"
"372312131105";"1";"1";"";"1.5"
"374972222805";"1";"1";"";""
"377813603205";"1";"1";"";"1.5"
"378066896005";"1";"1";"";"1"
"379353571405";"1";"1";"2012-06-21";"1.5"
"379354094005";"1";"1";"";""
"379608737205";"1";"1";"2012-06-08";"2.5"
"379865586405";"1";"1";"";""
"380911638505";"1";"1";"";""
"380911845005";"1";"1";"";"2"
"381420783905";"1";"1";"";"3"
"381678008805";"1";"1";"";"2.5"
"382455284805";"1";"1";"";"1.5"
"383234969805";"1";"1";"";"3"
"385848876305";"1";"1";"";"1"
"387970177505";"1";"1";"";"2.5"
"390667804205";"1";"1";"";"1.5"
"391501520705";"1";"1";"";"2"
"393681235805";"1";"1";"";"2"
"393681668305";"1";"1";"";"1.5"
"393954104305";"1";"1";"";""
"394499547005";"1";"1";"";""
"401405088505";"1";"1";"";"2"
"401405156905";"1";"1";"";"1"
"402500018805";"1";"1";"";"4"
"404984555705";"1";"1";"";"1.5"
"405810817505";"1";"1";"";"2.5"
"405810817705";"1";"1";"";"1"
"410591419105";"1";"1";"";"1"
"410591935205";"1";"1";"";"1"
"410592093705";"1";"1";"";"1.5"
"412295215105";"1";"1";"";"2"
"412853657405";"1";"1";"";"2.5"
"413417325105";"1";"1";"";"1.5"
"414284300305";"1";"1";"";""
"414284300805";"1";"1";"";""
"414284301305";"1";"1";"";""
"414284301805";"1";"1";"";""
"414284302305";"1";"1";"";""
"414284302905";"1";"1";"";""
"414284303405";"1";"1";"";""
"414284828905";"1";"1";"";""
"414284829405";"1";"1";"";""
"414284829905";"1";"1";"";""
"414284830405";"1";"1";"";""
"414286643905";"1";"1";"";"1"
"414847529505";"1";"1";"";"1"
