"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"1982";"";"7296545612";"16875006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2017";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2745776";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-19";"2019-08-19";"Dammam";"";"";""
"1987";"";"1150697812";"16876806";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2015";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"M";"";"";"";"";"";"";"";"";"";"";"";"";"2746117";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"";"3100";"3100";"15500"
"1986";"";"9822939312";"16876906";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746106";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"";"";"";"14000"
"1985";"";"5354334712";"16877006";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746095";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"Praha";"3100";"3100";"10200"
"1983";"";"8605577012";"16877106";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2005";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"T";"";"";"";"";"";"";"";"";"";"";"";"";"2746073";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"Rokycany";"3408";"3408";"33701"
"1984";"";"8742245512";"16877206";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746084";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"Čadca";"";"";"02201"
"1988";"";"4300188912";"16877306";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2018";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746139";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"Shaker Heights";"";"";""
"1989";"";"3055536412";"16877406";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2016";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2746150";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-20";"2019-08-20";"Praha";"3100";"3100";"13000"
"1990";"";"8843504812";"16878706";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746216";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-21";"2019-08-21";"Trenčín";"";"";"91105"
"1991";"";"4367914612";"16878806";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"N";"";"";"";"2018";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"A";"69";"K";"";"";"";"";"";"";"";"";"";"";"";"";"2746447";"";"";"";"";"";"";"";"";"";"";"";"";"";"2019-08-21";"2019-08-21";"Praha";"3100";"3100";"19900"
