"predmet_id";"kod_predmetu";"nazev_predmetu";"pocet_kreditu";"typ_predmetu";"forma_studia";"uroven_studia";"zpusob_zakonceni";"jazyk_vyuky"
"6576406";"BI-VPS.21";"Vybrané partie z počítačových sítí";"5";"PO;V;";"";"B;";"Z,ZK";"CS"
"6674606";"BIK-SIP.21";"Síťové programování";"5";"PO;V;";"K";"B;";"Z";"CS"
"6675206";"BIK-MSI.21";"Mobilní sítě";"5";"PO;V;";"K";"B;";"Z,ZK";"CS"
"6675006";"BIK-VPS.21";"Vybrané partie z počítačových sítí";"5";"PO;V;";"K";"B;";"Z,ZK";"CS"
"6700506";"BI-APS.21";"Architektury počítačových systémů";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"6698306";"BIK-OSY.21";"Operační systémy";"5";"P";"K";"B";"Z,ZK";"CS"
"4657706";"MIE-BPR.16";"Security and Secure Programming";"5";"PO";"P";"M";"Z,ZK";"EN"
"1122306";"BI-ADU";"Administrace OS Unix";"6";"PO";"P";"B";"Z,ZK";"CS"
"1444706";"BIK-APS";"Architektury počítačových systémů";"6";"PO";"K";"B";"Z,ZK";"CS"
"1444606";"BIK-ADU";"Administrace OS Unix";"6";"PO";"K";"B";"Z,ZK";"CS"
"6071806";"NI-EPC";"Efektivní programování v C++";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6099506";"NI-PDP";"Paralelní a distribuované programování";"6";"P;";"P";"M;";"Z,ZK";"CS"
"6111606";"NI-DSV";"Distribuované systémy a výpočty";"5";"PO";"P";"M";"Z,ZK";"CS"
"6628806";"NIE-MCC";"Multicore CPU Computing";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6628506";"NIE-EPC";"Effective C++ programming";"5";"PO;";"";"M;";"Z,ZK";"EN"
"4657906";"MIE-DSV.16";"Distributed Systems and Computing";"5";"V;";"";"M";"Z,ZK";"EN"
"6082206";"NI-OSY";"Operační systémy a systémové programování";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"4672806";"BIE-PS2";"Programming in shell 2";"4";"V;";"";"B";"Z,ZK";"EN"
"4672506";"BI-PS2";"Programování v shellu 2";"4";"PO";"P";"B";"Z,ZK";"CS"
"1435406";"MI-SYB";"Systémová bezpečnost";"4";"PO";"P";"M";"Z,ZK";"CS"
"1440906";"MIE-BHW";"Security and Hardware";"4";"PO";"P";"M";"Z,ZK";"EN"
"1616706";"PIK-ANM";"Aplikovaná numerická matematika";"4";"PO";"K";"D";"ZK";""
"1617306";"PIK-KIK";"Kvantová informace a kryptografie";"4";"PO";"K";"D";"ZK";""
"1601406";"PI-KIK";"Kvantová informace a kryptografie";"4";"P;";"";"D";"ZK";""
"5681406";"PI-ESC";"Vestavná bezpečnost";"4";"V;";"";"D;";"ZK";""
"2671406";"MIE-MKY";"Mathematics for Cryptology";"4";"PO;V;";"P";"M;";"Z,ZK";"EN"
"1440606";"MIE-SYB";"System Security";"4";"PO";"P";"M";"Z,ZK";"EN"
"4655306";"MI-KRY.16";"Pokročilá kryptologie";"5";"PO";"P";"M";"Z,ZK";"CS"
"6117606";"NI-HWB";"Hardwarová bezpečnost";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6055506";"NI-SBF";"Systémová bezpečnost a forenzní analýza";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"1435806";"MI-IBE";"Informační bezpečnost";"2";"P";"P";"M";"ZK";"CS"
"1800806";"MIE-KYB.1";"Cybernality";"3";"P";"P";"M";"ZK";"EN"
"1492306";"MI-SIB";"Síťová bezpečnost";"4";"PO";"P";"M";"Z,ZK";"CS"
"4658506";"MIE-KYB.16";"Cybernality";"5";"P";"P";"M";"ZK";"EN"
"1495206";"MIE-SIB";"Network Security";"4";"PO";"P";"M";"Z,ZK";"EN"
"1432306";"MI-KRY";"Pokročilá kryptologie";"4";"PO";"P";"M";"Z,ZK";"CS"
"3472106";"BIK-SSB";"Systémová a síťová bezpečnost";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"2358806";"MI-MKY";"Matematika pro kryptologii";"4";"PO;V;";"P";"M;";"Z,ZK";"CS"
"3046106";"MI-REV";"Reverzní inženýrství";"3";"V;";"P";"M;";"Z,ZK";"CS"
"3469406";"BIK-BEK";"Bezpečný kód";"5";"P;";"K";"B;";"Z,ZK";"CS"
"4660106";"MIE-SYB.16";"System Security";"5";"PO";"";"M";"Z,ZK";"EN"
"1442306";"BIK-BEZ";"Bezpečnost";"6";"P";"K";"B";"Z,ZK";"CS"
"4658406";"MIE-KRY.16";"Advanced Cryptology";"5";"PO";"";"M";"Z,ZK";"EN"
"4655406";"MI-KYB.16";"Kybernalita";"5";"P";"P";"M";"ZK";"CS"
"1437606";"MIE-KYB";"Cybernality";"4";"P";"P";"M";"ZK";"EN"
"1437506";"MIE-KRY";"Advanced Cryptology";"4";"PO";"P";"M";"Z,ZK";"EN"
"1800906";"MI-KYB.1";"Kybernalita";"3";"P";"P";"M";"ZK";"CS"
"4659906";"MIE-SIB.16";"Network Security";"5";"PO";"";"M";"Z,ZK";"EN"
"6117506";"NI-KRY";"Pokročilá kryptologie";"5";"PO";"P";"M";"Z,ZK";"CS"
"4672306";"MI-REV.16";"Reverzní inženýrství";"5";"V;";"P";"M;";"Z,ZK";"CS"
"4655706";"MI-MKY.16";"Matematika pro kryptologii";"5";"PO;V;";"P";"M;";"Z,ZK";"CS"
"4656806";"MI-SIB.16";"Síťová bezpečnost";"5";"PO";"P";"M";"Z,ZK";"CS"
"3462506";"BI-SSB";"Systémová a síťová bezpečnost";"5";"PO;";"P";"B;";"Z,ZK";"CS"
"4671406";"MI-HWB.16";"Hardwarová bezpečnost";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6115206";"NI-SIB";"Síťová bezpečnost";"5";"PO";"P";"M";"Z,ZK";"CS"
"3467606";"BIE-SSB";"System and Network Security";"5";"PO;";"P";"B;";"Z,ZK";"EN"
"1124706";"BI-BEZ";"Bezpečnost";"6";"P";"P";"B";"Z,ZK";"CS"
"4658806";"MIE-MKY.16";"Mathematics for Cryptology";"5";"PO;V;";"";"M;";"Z,ZK";"EN"
"1450806";"BIE-BEZ";"Security";"6";"P";"";"B";"Z,ZK";"EN"
"4657006";"MI-SYB.16";"Systémová bezpečnost";"5";"PO";"P";"M";"Z,ZK";"CS"
"3465506";"BIE-HWB";"Hardware Security";"5";"PO;";"";"B;";"Z,ZK";"EN"
"4703606";"MIE-REV.16";"Reverse Engineering";"5";"PO;";"";"M;";"Z,ZK";"EN"
"3470106";"BIK-HWB";"Hardwarová bezpečnost";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"5083506";"BI-EHA";"Etické hackování";"5";"V";"P";"B";"Z,ZK";"CS"
"3458606";"BI-BEK";"Bezpečný kód";"5";"P;";"P";"B;";"Z,ZK";"CS"
"6114106";"NI-REV";"Reverzní inženýrství";"5";"PO;V;";"P";"M;";"Z,ZK";"CS"
"1441006";"MIE-IBE";"Information Security";"2";"P;V;";"";"M";"ZK";"EN"
"3464706";"BIE-BEK";"Secure Code";"5";"P;";"P";"B;";"Z,ZK";"EN"
"6119806";"NI-MKY";"Matematika pro kryptologii";"5";"PO;V;";"P";"M;";"Z,ZK";"CS"
"6173506";"NI-IBE";"Informační bezpečnost";"2";"V;";"P";"M";"ZK";"CS"
"6055606";"NI-AIB";"Algoritmy informační bezpečnosti";"5";"PO;";"P";"M;";"Z,ZK";"CS"
"6625906";"NIE-HWB";"Hardware Security";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6626206";"NIE-REV";"Reverse Engineering";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6626106";"NIE-MKY";"Mathematics for Cryptology";"5";"PO;V;";"P";"M;";"Z,ZK";"EN"
"4675306";"MIE-HWB.16";"Hardware Security";"5";"PO;";"";"M;";"Z,ZK";"EN"
"6625706";"NIE-AIB";"Algorithms of Information Security";"5";"PO;";"P";"M;";"Z,ZK";"EN"
"6624906";"NIE-SIB";"Network Security";"5";"PO";"P";"M";"Z,ZK";"EN"
"6557906";"BIK-EHA.21";"Etické hackování";"5";"PO;PV;";"K";"B";"Z,ZK";"CS"
"1600806";"PI-ANM";"Aplikovaná numerická matematika";"4";"P";"";"D";"ZK";""
"6548706";"BI-KAB.21";"Kryptografie a bezpečnost";"5";"P;";"P";"B";"Z,ZK";"CS"
"6169106";"NI-KYB";"Kybernalita";"5";"P";"P";"M";"ZK";"CS"
"6557606";"BIK-TAB.21";"Technologické aplikace bezpečnosti";"5";"PO;";"K";"B;";"Z,ZK";"CS"
"6559706";"BIE-ASB.21";"Applied Network Security";"5";"PO;";"P";"B;";"Z,ZK";"EN"
