"statni_zkouska_id";"zaverecna_prace_id";"studium_id";"cislo_terminu";"typ_szzk";"uzavreno";"datum_prihlaseni";"datum_absolvovani";"celkove_hodnoceni";"poznamka"
"587864526805";"726661386205";"7793206";"1";"SZZ";"A";"2016-05-16";"2016-06-22";"1.5";""
"587864526905";"";"7793406";"1";"SZZ";"";"";"";"";""
"587864542805";"703433165805";"7793706";"1";"SZZ";"";"";"";"";""
"587864542905";"709040373405";"7793906";"1";"SZZ";"";"2017-07-27";"";"2";""
"829235425305";"731319107205";"7794006";"2";"SZZ";"";"2017-05-16";"";"1.5";""
"587864543005";"731319107205";"7794006";"1";"SZZ1";"";"2016-12-25";"2017-02-08";"4";""
"587864543105";"";"7794106";"1";"SZZ";"";"";"";"";""
"587864543205";"708060761205";"7794306";"1";"SZZ";"A";"2016-04-27";"2016-06-22";"1";""
"587864543305";"";"7794406";"1";"SZZ";"";"";"";"";""
"587864555405";"798912690205";"7794606";"1";"SZZ";"";"2017-05-04";"";"2";""
"587864555505";"";"7795006";"1";"SZZ";"";"";"";"";""
"587864555605";"";"7795206";"1";"SZZ";"";"";"";"";""
"587864555705";"";"7795406";"1";"SZZ";"";"";"";"";""
"587864555805";"";"7795506";"1";"SZZ";"";"";"";"";""
"587864555905";"";"7795806";"1";"SZZ";"";"";"";"";""
"587864556005";"828705836805";"7795906";"1";"SZZ";"";"2017-05-16";"";"1";""
"587864556105";"711266863905";"7796006";"1";"SZZ";"A";"2016-04-18";"2016-06-22";"1";""
"587864556205";"723547970505";"7796106";"1";"SZZ";"A";"2016-05-17";"2016-06-22";"1.5";""
"587864556305";"724581038005";"7796206";"1";"SZZ";"A";"2016-04-25";"2016-06-21";"1.5";""
"587864556405";"";"7796406";"1";"SZZ";"";"";"";"";""
"587864556505";"";"7796506";"1";"SZZ";"";"";"";"";""
"587864568705";"702693325305";"7796806";"1";"SZZ";"A";"2016-05-09";"2016-06-23";"1.5";""
"587864568805";"";"7796906";"1";"SZZ";"";"";"";"";""
"587864568905";"";"7797006";"1";"SZZ";"";"";"";"";""
"587864569005";"";"7797306";"1";"SZZ";"";"";"";"";""
"587864569105";"722507013105";"7797406";"1";"SZZ";"A";"2016-05-16";"2016-06-23";"2.5";""
"587864569205";"";"7797506";"1";"SZZ";"";"";"";"";""
"587864569305";"";"7797706";"1";"SZZ";"";"";"";"";""
"587864569405";"";"7797906";"1";"SZZ";"";"";"";"";""
