"cislo_prihlasky";"odkud_uchazec_prihlasen_kod";"prihlaska_kod";"studium_id";"rozhodnuti_kod";"obor_ss_kod";"ss_izo";"ss_typ";"ss_predmet1";"ss_predmet2";"ss_predmet3";"ss_predmet4";"ss_predmet5";"ss_predmet1_znamky";"ss_predmet2_znamky";"ss_predmet3_znamky";"ss_predmet4_znamky";"ss_predmet5_znamky";"ss_predmet1_prumer";"ss_predmet2_prumer";"ss_predmet3_prumer";"ss_predmet4_prumer";"ss_predmet5_prumer";"ss_prumer_prumeru";"ss_prumer_znamek";"bakalar_prumer";"predchozi_studium";"doplnujici_udaj1";"doplnujici_udaj2";"doplnujici_udaj3";"doplnujici_udaj4";"typ_prihlasky";"maturita_znamky";"maturita_prumer";"maturita_predmety";"maturita_rok";"cislo_mistnosti_pz";"datum_pz";"prominuti_pz";"hodnoceni_pz";"hodnoceni_pz_cast1";"hodnoceni_pz_cast2";"hodnoceni_pz_cast3";"hodnoceni_pz_cast4";"hodnoceni_pz_cast5";"hodnoceni_pz_cast6";"hodnoceni_pz_cast7";"hodnoceni_pz_cast8";"hodnoceni_pz_cast9";"hodnoceni_pz_cast10";"hodnoceni_pz_cast11";"hodnoceni_pz_cast12";"zapsal_ke_studiu";"status";"stipendium";"stipendium_cizi";"kolej_zadost";"termin";"prechodne";"studijni_skupina";"nove_prijaty";"navazujici_stud_program";"trvaly_pobyt_v_cr";"financovani";"stupen_predchoziho_vzdelani";"pz1_datum";"pz1_cas";"pz1_mistnost";"pz2_datum";"pz2_cas";"pz2_mistnost";"pz3_datum";"pz3_cas";"pz3_mistnost";"pisemny_test";"anketa_odkud_kod";"anketa_odkud_poznamka";"cislo_uchazece";"scio_test";"olympiady";"postizeni_kod";"postizeni_poznamka";"placeno_r";"placeno_poznamka";"placeno_mail";"staz_stat";"staz_poznamka";"maturita_uroven";"zajem";"zprava_pro_uchazece";"priorita";"datum_registrace";"datum_rozhodnuti";"misto_kod";"okres_kod";"zeme_kod";"psc"
"322";"7";"43077173";"17888206";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2017-2020 ČVUT FIT Bakalářské studium, obor Softwarové inženýrství";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"1";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"2797179";"";"";"";"";"";"";"";"";"";"";"";"";"";"2020-02-05";"2020-06-23";"Praha";"3100";"3100";"19700"
"1541";"7";"32528436";"19152406";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT v Praze, FIT, (BI) Informatika, (BI-ZI) Znalostní inženýrství, datum zahájení studia 28.6.2018, datum ukončení studia červen 2021, Bc.";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3073752";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-10";"2021-06-17";"Praha";"3100";"203";"18200"
"1838";"7";"28815724";"19798906";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT FIT, Informatika, Informační systémy a management, 2017 - 2021, Bc.";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3089141";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-17";"2021-09-01";"Český Dub";"3505";"203";"46343"
"2171";"7";"76238872";"19160206";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FIT-ČVUT bakalářský obor webové inženýrství, 2017-2021";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3104574";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-23";"2021-06-22";"Ovčáry";"3206";"203";"27714"
"762";"7";"19992054";"19152006";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT Praha, Fakulta informačních technologií, (BI) Informatika, (BI-WSI) Webové a softwarové inženýrství, zahájení: 28.6.2018";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3040873";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-02-18";"2021-06-17";"Náměšť nad Oslavou";"3710";"203";"67571"
"1073";"7";"52391998";"19159606";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT - FIT( Fakulta informačních technologií )
Studijní program: Informatika
Typ programu: bakalářský
Obor / Specializace: Bezpečnost a informační technologie
Datum zahájení studia: 30.6.2017
Datum ukončení studia: V době podání přihlášky, stále probíhající";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3054029";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-02-26";"2021-06-16";"Praha";"3100";"203";"18100"
"365";"7";"23662206";"19150606";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT Praha - Fakulta informačních technologií, Softwarové inženýrství, zahajeni 2018, ukonceni 2021";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3021733";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-02-02";"2021-06-15";"Výprachtice";"3611";"203";"56134"
"2540";"7";"75594721";"19161206";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"ČVUT - Fakulta Informačních Technologií - Softwarové inženýrství, zahájení 2017, dokončení červen 2021, titul Bc.";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3125034";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-29";"2021-06-23";"Praha";"3100";"203";"14300"
"1468";"7";"74713946";"19155606";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Matematicko-fyzikální fakulta, UK, obor: Obecná matematika
Fakulta informačních technologií, ČVUT";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"";"17";"";"2";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3070760";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-10";"2021-06-15";"Praha";"3100";"203";"10200"
"1985";"3";"76578109";"19345406";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MFF UK 2013 - 2015 bakalářské, obecná matematika, nedokončeno
FIT ČVUT 2015 - 2018 bakalářské, teoretická informatika, dokončeno
FIT ČVUT 2018 - 2020 magisterské, teoretická informatika, nedokončeno";"";"";"";"";"P";"";"";"";"";"";"";"";"0";"";"88";"18";"";"2";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"A";"A";"A";"1";"R";"";"";"";"";"";"";"";"";"";"";"";"";"3096632";"";"";"";"";"";"";"";"";"";"";"";"";"";"2021-03-20";"2021-06-22";"Praha";"3100";"203";"14300"
