,studium_id
365,4058106
366,4059006
367,4059106
368,4059306
369,4059406
370,4220506
371,4064906
372,4066306
373,4066806
374,4066906
375,4067506
376,4067606
377,4067806
378,4219806
379,4267006
380,4267906
381,6301706
382,5526806
383,5501606
384,5502706
385,5502206
386,4755706
387,4756106
388,9214506
389,4758006
390,4758206
391,4758506
392,4758606
393,4759006
394,4759106
395,4759606
396,4759706
397,4759906
398,4760006
399,4760406
400,4760506
401,4760906
402,4761006
403,4761206
404,4761706
405,4761906
406,4762006
407,4762106
408,4763006
409,4764306
410,4764606
411,4764906
412,4765406
413,4765906
414,4766306
415,4767806
416,4768206
417,4768806
418,4769006
419,4769706
420,4769906
421,4770006
422,11727206
423,4770606
424,4770906
425,4771006
426,4772106
427,4772906
428,4773106
429,4773206
430,4773306
431,4774006
432,4774106
433,4774206
434,4774606
435,4774806
436,4774906
437,4775106
438,4775706
439,4776206
440,4776506
441,4776606
442,4777106
443,4777206
444,4777506
445,4777606
446,4777806
447,4777906
448,4778506
449,4778906
450,4779106
451,4779306
452,4779606
453,4779906
454,4780206
455,4780706
456,4780806
457,4781006
458,4781106
459,4781706
460,4781806
461,4782106
462,4782306
463,4782606
464,4783706
465,4785306
466,4785506
467,4786106
468,4786306
469,4786506
470,4786706
471,4786806
472,4787006
473,4787106
474,4787606
475,4788306
476,4788506
477,4788906
478,4789006
479,4789706
480,4789806
481,4789906
482,4790006
483,4790406
484,4790506
485,4791306
486,4791506
487,4791606
488,4791906
489,4792106
490,4792206
491,4793206
492,4793306
493,4793706
494,4793906
495,4794706
496,4795106
497,4795206
498,4795406
499,4795606
500,4795706
501,4818006
502,4832006
503,5494706
504,5495506
505,5497406
506,5497606
507,5498206
508,5499006
509,5499206
510,5499906
511,5500106
512,5501406
513,5501906
514,5503106
515,5503206
516,5504006
517,5504206
518,5504606
519,5505206
520,5506506
521,5506706
522,5507806
523,5508806
524,5511206
525,5512506
526,5512706
527,5512906
528,5513806
529,5697906
530,5709006
531,5724106
532,5757106
533,1596706
534,1595006
535,2815006
536,1575106
537,2930906
538,1581806
539,1576606
540,1570906
541,1569506
542,2822006
543,4780406
544,4791406
545,1600206
546,1595506
547,3728106
548,1599806
549,1569906
550,1569206
551,4277606
552,5511006
553,1578206
554,1604906
555,1580906
556,6284306
557,4770106
558,1755206
559,3759206
560,4770506
561,4220806
562,4761606
563,2854306
564,2933206
565,2853706
566,4220206
567,3772606
568,2933306
569,4830706
570,1755606
571,1600606
572,1755906
573,1755306
574,1587506
575,1756006
576,4224006
577,3081406
578,2821806
579,4220306
580,1755006
581,4220606
582,4224106
583,4262506
584,3727706
