"studium_id";"typ_programu";"forma_studia";"datum_zahajeni";"datum_ukonceni";"rocnik";"studijni_stav";"studuje";"zamereni_id";"fakulta_id";"nazev_fakulty";"jazyk_vyuky";"ukonceni_zpusob";"platby_stav";"pruchod";"rok_maturity";"odkud_skola_kod"
"5509906";"B";"P";"2011-09-05";"2012-04-10";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"049232886"
"5525406";"B";"P";"2011-09-05";"2016-06-29";"5";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"3";"";"2011-01-01";"110380193"
"5505106";"B";"P";"2011-09-05";"2012-08-28";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"048161217"
"5500406";"B";"P";"2011-09-05";"2012-02-14";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000081931"
"5508006";"B";"P";"2011-09-05";"2012-06-25";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"999999999"
"5509006";"B";"P";"2011-09-05";"2013-09-03";"3";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000638374"
"5500506";"B";"P";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2009-01-01";"060650494"
"5493606";"B";"K";"2011-09-05";"2012-10-08";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2008-01-01";"102692181"
"5494006";"B";"K";"2011-09-05";"2012-04-10";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"3";"";"1998-01-01";"049766929"
"5513706";"B";"P";"2011-09-05";"2012-02-29";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000340383"
"5507506";"B";"P";"2011-09-05";"2012-06-29";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"061386855"
"5511806";"B";"P";"2011-09-05";"2013-06-27";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"048109355"
"5491106";"B";"K";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"000638374"
"5528106";"B";"P";"2011-09-05";"2012-03-20";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2010-01-01";"000335410"
"5524306";"B";"P";"2011-09-05";"2012-04-10";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2003-01-01";"999999999"
"5508106";"B";"P";"2011-09-05";"2012-03-19";"1";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"013094394"
"5511106";"B";"P";"2011-09-05";"2012-02-01";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"102943559"
"5507706";"B";"P";"2011-09-05";"2014-06-17";"3";"17";"K";"";"10";"Fakulta informačních technologií";"CS";"01";"0";"";"2011-01-01";"049232886"
"5493706";"B";"K";"2011-09-05";"2011-12-15";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"3";"";"1999-01-01";"000582875"
"5506006";"B";"P";"2011-09-05";"2013-10-15";"3";"7";"K";"";"10";"Fakulta informačních technologií";"CS";"03";"0";"";"2011-01-01";"061386855"
"5506406";"B";"P";"2011-09-05";"2012-09-03";"2";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"060884746"
"5497306";"B";"P";"2011-09-05";"2012-01-31";"1";"3";"K";"";"10";"Fakulta informačních technologií";"CS";"02";"0";"";"2011-01-01";"000069167"
