studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1567806,0,1,2009,2009,0,1,0,0,0,0,0,0,4.0,3.0,4.0,3.0,4.0,4.0,,,,,,,,,,,,,,
1567906,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,2.5,1.5,2.5,2.0,2.5,3.0,2.0,3.0,3.0,,2.5,3.0,3.0,2.5,2.5,2.0,1.5,1.5,3.0
1568006,0,1,2009,2009,0,0,0,0,0,0,0,1,1.0,1.5,1.0,2.0,1.5,2.0,3.0,1.0,1.5,2.0,,1.5,3.0,2.5,1.5,1.5,1.5,1.0,2.0,2.0
1568106,0,1,2009,2008,1,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1568206,0,0,2009,2008,1,0,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1568306,1,0,2009,2008,1,0,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1568506,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,1.5,2.5,2.5,1.5,2.5,2.0,1.0,1.0,3.0,,1.0,2.5,1.0,2.5,1.5,2.0,1.5,1.5,2.5
1568606,0,1,2009,2009,0,1,1,0,0,0,0,1,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.5,2.0
7137706,1,1,2012,2009,3,0,0,1,0,0,0,0,2.5,2.0,2.5,4.0,2.0,4.0,4.0,3.0,2.5,3.0,,4.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,2.5
1568806,1,1,2009,2009,0,0,0,0,0,0,0,0,2.5,2.0,2.5,3.0,2.0,4.0,3.0,3.0,2.5,4.0,,4.0,3.0,4.0,4.0,,2.0,,2.0,
1569006,1,0,2009,2003,6,0,2,0,0,0,0,1,1.5,1.5,1.5,1.5,1.0,1.0,3.0,2.0,1.5,2.0,,1.5,2.0,2.5,3.0,1.5,3.0,1.5,2.5,3.0
1569106,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,2.5,1.5,2.5,2.5,2.5,3.0,2.0,3.0,3.0,,2.5,2.5,2.0,2.0,2.5,1.5,1.0,2.0,3.0
1569306,1,1,2009,2008,1,1,0,0,0,0,0,0,,4.0,4.0,3.0,2.0,2.0,4.0,,4.0,,,,,4.0,,,,,,
1569606,0,1,2009,2009,0,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1569706,0,0,2009,2009,0,0,2,0,0,0,0,0,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,
5521706,0,1,2011,2009,2,0,0,0,0,0,0,0,2.0,2.5,1.0,4.0,2.0,2.5,,4.0,,,,2.5,4.0,,,,,,,4.0
1569806,0,1,2009,2009,0,0,0,0,0,0,0,0,2.0,2.5,1.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,,2.5,4.0,4.0,4.0,,4.0,,,
1570106,0,1,2009,2009,0,2,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570206,0,1,2009,2009,0,1,0,0,0,0,0,1,3.0,2.0,2.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,3.0,2.5,3.0,3.0,2.5,2.0,2.5,3.0
1570306,1,1,2009,2004,5,1,1,0,0,0,0,0,4.0,4.0,4.0,,4.0,4.0,,,,,,,,,,,,,,
1570406,0,1,2009,2009,0,0,0,0,0,0,0,1,1.0,1.5,1.5,3.0,2.5,3.0,2.0,1.5,2.5,3.0,,2.0,2.5,2.0,2.5,2.0,2.0,1.0,1.5,3.0
1570506,0,0,2009,2001,8,0,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570606,0,1,2009,2006,3,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1570806,0,1,2009,1998,11,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571006,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,2.0,1.5,3.0,1.0,3.0,3.0,1.5,1.5,2.5,,2.5,3.0,2.5,2.0,2.0,1.5,1.5,1.5,3.0
1571106,0,0,2009,2009,0,0,2,0,0,0,0,1,1.0,2.0,1.0,2.5,2.0,1.0,1.0,1.0,1.0,2.5,,1.0,1.0,2.0,2.5,1.5,1.5,1.5,1.0,1.5
1571206,0,1,2009,2009,0,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
6321706,0,1,2012,2009,3,1,1,0,0,0,0,0,4.0,4.0,2.5,4.0,4.0,4.0,,,,,,,,,,,,,,
1571306,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,1.5,1.0,2.0,1.0,1.5,2.0,1.0,1.5,2.0,,1.0,1.5,1.5,2.0,1.5,1.0,1.5,2.5,1.5
1571406,1,1,2009,2008,1,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571506,0,1,2009,2007,2,1,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
9671006,1,1,2014,2008,6,0,0,0,0,0,0,1,2.0,1.5,1.5,3.0,2.0,2.5,2.0,2.0,2.5,3.0,,3.0,2.5,2.5,2.0,3.0,2.5,2.0,2.0,1.5
1571706,1,1,2009,2008,1,0,0,0,0,0,0,0,2.0,1.5,3.0,3.0,3.0,2.5,3.0,2.0,2.5,3.0,,3.0,3.0,2.5,2.0,3.0,2.5,2.0,2.0,3.0
1571806,0,1,2009,2009,0,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571906,0,0,2009,2007,2,0,2,0,0,0,0,1,1.0,1.0,2.5,2.0,1.0,2.5,3.0,1.5,2.5,2.5,,2.5,2.5,2.0,2.5,2.5,1.5,1.5,2.5,2.5
1572106,0,1,2009,2004,5,0,0,0,0,0,0,0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1572206,0,1,2009,2009,0,1,0,0,0,0,0,1,1.0,1.5,1.0,2.5,1.0,1.0,1.5,1.0,1.5,1.0,,1.5,1.5,2.0,2.0,1.0,1.5,1.5,1.5,2.5
1572306,1,0,2009,2008,1,0,2,0,0,0,0,0,4.0,1.5,4.0,4.0,2.0,4.0,,,,,,,,,,,,,,
1572406,0,1,2009,2009,0,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572506,0,1,2009,2009,0,0,0,0,0,0,0,0,2.5,1.5,1.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1572606,0,0,2009,2009,0,0,2,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572706,0,1,2009,2008,1,0,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572806,0,1,2009,2009,0,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,,,
