studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
1571806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1571906,1.0,1.0,2.5,2.0,1.0,2.5,3.0,1.5,2.5,2.5,,2.5,2.5,2.0,2.5,2.5,1.5,1.5,2.5,2.5
1572106,2.0,3.0,3.0,4.0,3.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1572206,1.0,1.5,1.0,2.5,1.0,1.0,1.5,1.0,1.5,1.0,,1.5,1.5,2.0,2.0,1.0,1.5,1.5,1.5,2.5
1572306,4.0,1.5,4.0,4.0,2.0,4.0,,,,,,,,,,,,,,
1572406,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572506,2.5,1.5,1.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1572606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572706,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1572806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
4049706,3.0,2.5,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573406,3.0,1.0,2.5,4.0,2.0,4.0,4.0,4.0,2.0,4.0,,4.0,4.0,4.0,,,,,,
1573506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1573706,1.5,3.0,1.5,2.5,1.5,2.5,2.0,1.5,3.0,3.0,,1.5,2.5,3.0,3.0,1.5,2.0,2.0,2.0,2.5
1573806,1.0,2.0,1.5,2.0,3.0,3.0,1.0,1.5,3.0,3.0,,3.0,3.0,1.5,2.0,2.5,1.5,1.5,1.5,2.5
1573906,2.0,2.0,1.0,2.5,2.5,1.5,,,4.0,4.0,,,,,,,,,,
1574006,1.0,1.5,1.5,3.0,2.5,3.0,2.5,1.0,3.0,2.5,,2.0,2.5,3.0,2.0,3.0,2.0,1.5,1.5,2.5
1574106,1.0,3.0,1.5,2.5,2.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1574206,2.0,1.0,1.5,2.0,1.5,2.5,3.0,2.0,1.5,3.0,,1.5,2.5,2.5,3.0,2.5,1.5,1.5,1.5,3.0
1574306,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1574506,1.0,1.5,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.5,,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.5,1.0
1574606,1.0,1.5,1.5,2.0,1.5,1.5,1.0,3.0,2.5,1.0,,2.0,2.0,2.5,1.5,1.5,1.5,1.5,1.5,3.0
1574706,2.0,2.5,1.0,2.0,1.0,2.5,1.5,1.5,1.0,2.5,,2.0,2.0,1.5,2.0,2.5,1.5,1.5,2.0,3.0
1574806,2.5,3.0,1.5,3.0,2.5,3.0,2.5,2.5,2.5,4.0,,3.0,3.0,3.0,4.0,4.0,2.5,,2.0,4.0
4763706,1.0,2.0,1.5,2.5,2.5,2.0,2.0,2.0,2.0,3.0,,2.0,3.0,2.5,2.5,3.0,2.5,2.0,2.5,4.0
1575006,1.0,2.0,1.5,2.5,2.5,2.0,2.0,4.0,2.0,3.0,,4.0,4.0,2.5,4.0,,4.0,,2.5,
1575206,2.5,1.5,1.5,3.0,2.5,2.5,3.0,2.0,2.5,3.0,,3.0,3.0,2.5,3.0,3.0,3.0,2.0,2.5,2.5
1575406,1.0,3.0,2.0,2.0,2.5,3.0,2.5,2.5,3.0,3.0,,2.5,2.5,2.5,2.5,2.5,1.5,2.0,2.5,3.0
1575506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1575606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1575806,4.0,2.0,2.5,4.0,4.0,4.0,,,,,,,,,,,,,,
1575906,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1576206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1576306,1.0,1.5,1.0,1.5,1.0,1.0,2.0,1.0,1.0,1.5,,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1576406,4.0,2.5,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
5522906,2.0,2.5,2.0,3.0,1.5,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,3.0
1576506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1576706,1.0,1.0,1.0,2.5,2.0,2.5,2.0,1.5,1.5,3.0,,2.0,2.0,2.5,2.0,1.0,2.0,1.0,1.5,2.5
1576806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1577006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1577106,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1577206,1.5,1.0,1.5,1.5,2.0,1.5,4.0,1.0,1.5,1.5,,1.5,2.0,,,,2.0,,4.0,1.0
8399506,1.0,1.5,2.5,2.0,2.0,4.0,,2.0,2.5,,,4.0,4.0,,,,2.5,,,
1577306,1.0,1.5,2.5,2.0,2.0,4.0,3.0,2.0,2.5,4.0,,3.0,3.0,4.0,4.0,4.0,2.5,,,
1577506,1.5,3.0,2.5,1.0,3.0,2.5,2.5,2.0,2.0,3.0,,2.0,3.0,3.0,3.0,2.0,2.0,1.5,3.0,3.0
1577606,2.0,1.0,4.0,3.0,3.0,4.0,4.0,4.0,2.5,4.0,,4.0,,4.0,,,,,4.0,4.0
1577706,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1577806,1.5,3.0,2.0,3.0,2.0,4.0,3.0,1.5,3.0,4.0,,2.0,2.5,4.0,,,,,,
1578006,2.0,3.0,2.5,2.5,3.0,2.0,3.0,2.5,1.5,4.0,,2.0,3.0,2.5,4.0,,4.0,,,
1578306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1578406,1.0,1.0,2.0,3.0,2.0,2.0,2.5,2.0,1.5,3.0,,3.0,2.0,3.0,1.5,2.0,2.0,2.0,2.0,4.0
1578506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1578606,1.0,1.5,1.0,3.0,1.5,3.0,3.0,1.5,1.5,3.0,,1.5,2.0,2.0,3.0,2.0,2.0,1.5,2.0,2.5
1578706,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1578806,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1578906,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1579006,3.0,1.5,1.0,3.0,2.0,2.5,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,,4.0,,4.0,
1579106,1.0,1.5,1.0,2.5,2.0,2.5,1.0,2.0,1.5,3.0,,1.5,2.5,1.5,2.0,2.5,2.0,1.5,2.5,3.0
1579206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1579306,1.0,1.5,1.0,3.0,3.0,3.0,2.5,1.0,1.0,2.5,,1.5,2.5,2.0,2.0,1.5,2.5,1.5,2.0,2.5
1579406,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1579606,4.0,1.0,3.0,4.0,4.0,4.0,,,,,,,,,,,,,,
6309906,2.5,2.0,2.0,2.5,2.0,3.0,2.5,2.5,1.5,2.0,,2.0,4.0,2.5,3.0,2.5,2.5,2.5,2.5,3.0
1579706,2.5,2.0,2.0,2.5,3.0,3.0,2.5,2.5,1.5,4.0,,2.0,3.0,2.5,4.0,2.5,2.5,3.0,2.5,4.0
1580006,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1580106,1.0,2.0,1.5,2.0,2.5,2.5,2.0,2.5,1.5,3.0,,2.0,3.0,2.0,2.0,1.5,3.0,1.5,1.5,2.5
1580206,1.0,1.5,1.5,3.0,1.0,2.0,3.0,1.0,2.0,3.0,,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
1580306,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1580406,2.0,2.5,1.5,2.5,2.0,3.0,2.5,1.0,2.5,3.0,,2.0,3.0,2.0,2.5,2.0,2.5,2.0,3.0,3.0
1580506,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1580606,1.0,2.0,1.5,2.5,2.0,2.5,3.0,1.0,1.0,3.0,,2.0,2.5,3.0,2.5,1.5,2.0,1.5,2.5,3.0
1580706,1.0,2.0,1.0,2.0,1.5,2.5,1.5,1.0,1.5,3.0,,1.0,3.0,3.0,2.0,2.5,2.5,1.0,1.5,3.0
1580806,2.0,1.0,1.0,2.5,3.0,3.0,3.0,2.0,2.5,3.0,,2.0,3.0,2.5,2.0,2.5,2.5,2.0,2.5,4.0
1581006,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,,4.0,4.0,4.0,,,,,,
1581106,1.0,1.5,2.0,3.0,2.0,2.0,1.0,1.0,1.5,3.0,,2.5,2.0,1.5,2.5,2.0,2.5,1.5,1.0,2.5
1581206,2.0,3.0,1.5,2.0,2.0,1.0,4.0,,,4.0,,,,,,,,,,
1581306,2.5,2.5,2.0,3.0,2.5,2.5,3.0,2.0,3.0,2.5,,2.5,2.0,4.0,1.5,2.5,1.5,3.0,2.5,2.5
1581406,1.0,2.0,1.0,1.5,1.0,1.5,2.0,1.5,1.0,1.5,,1.5,1.0,1.5,2.5,2.0,2.0,2.5,2.0,1.5
1581506,4.0,2.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1581606,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1581706,2.5,2.0,2.5,2.0,2.5,3.0,2.5,1.5,1.5,2.5,,1.0,3.0,1.0,3.0,1.5,2.0,1.5,1.5,1.5
1582006,1.5,2.0,4.0,3.0,3.0,4.0,4.0,,4.0,4.0,,,,4.0,,,,,,
1582206,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1582306,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
1582406,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
