studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1
11681906,1.0,3.0,1.0,3.0,1.0,1.5,1.0,4.0,1.0,2.5,1.0,2.5,1.0,25.0
14277206,1.0,3.0,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.5,1.0,23.0
11681606,1.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,2.5,1.0,31.0
12956806,0.0,1.5,1.0,2.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.5,1.0,17.0
11696006,1.0,2.5,1.0,3.0,1.0,1.5,1.0,4.0,1.0,4.0,1.0,3.0,1.0,20.0
12954406,1.0,2.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,2.0,1.0,2.5,1.0,33.0
16183206,1.0,2.0,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,15.0
16752906,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,3.0,1.0,15.0
11680506,1.0,2.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.5,1.0,28.0
12974306,1.0,2.5,1.0,2.0,1.0,1.5,1.0,3.0,1.0,2.5,1.0,2.0,1.0,32.0
11710206,1.0,3.0,1.0,2.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,28.0
12031806,1.0,2.5,1.0,2.0,1.0,1.5,1.0,3.0,1.0,2.0,1.0,2.5,1.0,21.0
13015206,1.0,2.5,1.0,2.0,1.0,1.5,1.0,1.0,1.0,2.0,1.0,4.0,1.0,17.0
11712806,1.0,2.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,30.0
15563206,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,16.0
11685106,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,30.0
11699506,1.0,2.0,1.0,2.5,1.0,1.5,1.0,2.5,1.0,1.5,1.0,2.0,1.0,35.0
13011306,1.0,2.5,1.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,4.0,1.0,19.0
11695506,1.0,3.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.5,1.0,2.5,1.0,20.0
13520206,1.0,2.5,1.0,1.5,1.0,1.5,1.0,3.0,1.0,3.0,1.0,3.0,1.0,30.0
11695006,1.0,2.5,1.0,2.5,1.0,1.0,1.0,2.5,1.0,2.0,1.0,2.5,1.0,27.0
12979306,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,30.0
12035306,1.0,2.5,1.0,2.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,1.5,1.0,29.0
11715406,1.0,3.0,1.0,3.0,1.0,1.5,1.0,4.0,1.0,2.0,1.0,2.5,1.0,34.0
11689006,1.0,3.0,1.0,2.0,1.0,2.5,1.0,2.5,1.0,2.0,1.0,2.5,1.0,17.0
12990906,1.0,1.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.0,1.0,2.5,1.0,16.0
