studium_id,MI-PAA,MI-MPI,MI-PDP.16,MI-SPI.16
12235006,,4.0,,
9232506,2.0,2.0,,
9234006,4.0,2.5,,
9243606,2.0,2.5,,
9232806,2.0,3.0,,
9237606,1.5,1.5,,
9247006,,4.0,,
9231006,2.0,1.5,,
11652406,2.0,2.5,,
16197406,4.0,2.5,,1.5
11652606,4.0,2.5,,1.5
9249306,2.5,2.5,,
11652706,,4.0,,
13035406,4.0,4.0,,
9981106,2.0,2.0,,
9243406,2.0,3.0,,
15633206,2.0,2.5,,
9613606,2.0,3.0,,
13500706,4.0,4.0,,
9240706,1.5,1.5,,
9981206,2.5,3.0,,
9241406,,2.0,,
11653106,,2.5,,
13033906,1.5,2.5,1.5,
9247606,,4.0,,
13034906,4.0,4.0,,
9234606,1.5,1.5,,
9242706,2.0,2.5,,
12233906,2.0,1.5,,
9233606,2.5,2.5,,
9250006,2.0,2.0,,
9234206,1.5,2.5,,
9981506,,4.0,,
9238406,1.5,2.0,,
9251006,2.5,2.5,,
9234106,1.5,2.0,,
9246506,2.5,3.0,,
9243006,2.0,2.5,,
12235806,1.0,2.5,,
9233406,2.0,3.0,,
9981806,2.0,2.5,,
9237406,1.5,2.5,,
9236206,2.5,2.5,,
9249906,2.0,1.5,,
9246206,1.0,2.0,,
9293906,1.0,1.5,,
9982106,,4.0,,
9249406,1.0,2.0,,
9239506,1.5,2.0,,
15636006,4.0,4.0,,
9250706,1.5,2.5,,
13035106,1.5,2.5,1.0,
9239706,2.0,2.5,,
11655306,2.0,3.0,2.0,3.0
9242106,2.0,2.5,,
9241806,2.0,2.0,,
9233506,1.5,2.0,,
9247506,1.5,3.0,,
11655406,,4.0,,
9250606,1.5,1.5,,
13501206,2.0,3.0,,2.5
13034006,4.0,4.0,,
14794606,2.0,2.0,2.0,2.5
11656006,,3.0,,
9241706,,4.0,,
11656206,1.5,2.0,1.0,2.0
9233306,1.5,2.5,,
9247906,1.5,2.0,,
9232906,1.0,1.5,,
9243806,2.0,3.0,,
9241206,,4.0,,
9242306,1.5,2.5,,
9247706,2.0,2.5,,
9237106,3.0,2.5,,
11657006,2.0,2.5,2.0,
9250306,1.0,2.5,,
11657306,1.0,1.5,,
9232206,2.5,3.0,,
11657606,2.5,3.0,,
11657806,,4.0,,
9243906,2.0,2.5,,
9238906,4.0,2.5,,
13027606,4.0,2.5,,
9246006,2.0,1.5,,
11658106,4.0,3.0,,3.0
9236706,2.0,1.5,,
9233106,2.0,2.5,,
9244906,3.0,3.0,,
9246306,2.5,2.0,,
11658906,,4.0,,
9240206,1.5,2.5,,
9239406,2.5,2.5,,
9242906,2.0,3.0,,
9983506,1.5,2.0,,
9983606,,4.0,,
9243106,1.5,2.0,,
9982406,1.5,2.0,,
14311406,4.0,4.0,,
13018206,4.0,3.0,4.0,4.0
14947906,1.0,1.5,2.0,2.5
6854806,,4.0,,
17205206,2.0,2.0,2.5,2.5
5402506,,,,
5402806,4.0,4.0,,
9251506,,4.0,,
5402906,,,,
5404106,1.5,1.5,,
5406406,,,,
5406506,1.5,2.0,,
5406806,1.5,2.5,,
5407106,1.5,2.0,,
8573906,,,,
5407606,1.0,1.0,,
5407906,,,,
5408106,2.0,2.5,,
5409606,2.5,3.0,,
5410906,1.5,2.5,,
5411406,1.5,2.0,,
5412106,2.0,2.5,,
5412706,2.0,2.0,,
5412806,,,,
8340506,4.0,,,
5413706,4.0,2.0,,
5415806,2.5,2.5,,
9249206,,4.0,,
16698206,2.0,4.0,4.0,4.0
5688006,1.5,2.5,,
5688806,,4.0,,
13502106,4.0,4.0,4.0,4.0
13498306,2.5,3.0,1.5,2.0
12236806,,4.0,,
16196506,2.5,3.0,4.0,2.5
11643806,4.0,3.0,,2.5
9238806,2.0,3.0,,
13035806,2.0,4.0,,
14792706,2.0,2.0,2.0,
11646006,1.5,3.0,,
15630906,4.0,,,
11646906,1.5,2.5,,
9246106,,2.5,,
16197106,1.0,2.5,2.0,
11647306,2.5,3.0,,
9246806,2.0,2.5,,
14793306,2.5,4.0,,
11647806,2.5,4.0,,
9248506,,4.0,,
9248406,2.0,2.5,,
11649506,,4.0,,
13029406,2.0,2.5,2.5,3.0
9232706,1.5,2.0,,
9249506,,,,
14285906,2.0,2.0,2.0,3.0
9231506,2.5,3.0,,
9240406,2.5,2.5,,
17204806,4.0,4.0,,
14794106,4.0,4.0,,
12236206,1.5,2.5,,
12234206,2.5,3.0,,2.5
9242006,2.5,3.0,,
9244806,1.0,2.0,,
9982206,2.0,2.5,,
11656906,,4.0,,
9248106,2.0,2.5,,
12236906,,4.0,,
13033506,2.5,3.0,4.0,3.0
9983006,2.0,2.0,,
9983106,2.0,2.5,,
9235406,2.0,2.5,,
9235206,2.5,2.5,,
9242206,1.5,2.0,,
9239106,3.0,3.0,,
9980506,,,,
13036406,4.0,4.0,,
11653306,4.0,4.0,,
18532606,2.0,2.5,,2.5
13501006,2.0,2.5,4.0,2.5
11658606,1.0,2.5,,
14794506,2.0,3.0,2.5,3.0
5686106,,,,
5687006,,,,
5687706,,,,
12343206,,4.0,,
8327506,1.5,2.0,,
9250906,2.0,3.0,,
9237806,1.5,1.5,,
8337806,,4.0,,
13024706,2.0,2.0,1.5,3.0
9231406,2.5,3.0,,
13022306,2.0,2.5,3.0,3.0
11642506,2.0,1.5,,
11659406,3.0,3.0,,
14766006,4.0,3.0,4.0,4.0
18531106,,,,
11652106,2.0,2.5,,
11655206,1.5,2.0,,
16197306,2.5,2.0,1.5,2.5
11651706,1.5,2.5,2.0,1.5
11649006,2.0,3.0,,
11652206,2.0,2.5,2.0,2.0
13021506,1.0,1.5,1.5,1.0
13026706,1.5,3.0,2.0,2.0
13035506,4.0,4.0,,
11649406,,4.0,,
13023506,,,,
11646806,1.5,1.0,,
13016906,1.0,1.5,1.5,2.0
13035306,4.0,3.0,,
13034406,2.5,2.5,2.5,3.0
13027306,3.0,3.0,2.5,3.0
12022106,2.0,4.0,4.0,2.0
14321206,2.0,3.0,1.5,2.0
11643206,1.5,2.0,,
13021406,4.0,4.0,,
11653406,,2.0,,
13028206,2.0,2.0,2.0,2.5
13017706,2.0,2.5,2.0,2.5
13028006,4.0,4.0,,
11643006,1.0,1.0,,
11656806,2.0,3.0,,
15635106,2.5,2.5,1.5,3.0
11650006,1.5,2.0,,
11653206,2.5,1.5,,
13029906,1.0,2.5,1.5,1.5
11655506,1.5,3.0,,
13030206,2.0,2.5,2.5,3.0
13031906,2.0,2.0,2.0,2.0
14273706,2.5,2.5,2.0,2.5
11646206,2.5,2.5,,
11654206,2.0,2.0,,
11650806,1.5,2.0,,
13033806,4.0,4.0,,
13019506,4.0,4.0,2.0,2.5
11642906,1.0,2.5,,
12236706,2.5,2.5,,
11645306,1.5,2.5,,
11654606,2.0,2.5,,
14283506,2.0,2.5,2.5,3.0
15644206,3.0,3.0,2.5,2.0
13028706,2.5,2.5,2.0,1.5
11644906,2.5,2.0,,
11650606,1.5,1.5,,
11658306,1.5,2.5,,
11645506,1.5,2.5,,
11649806,1.0,1.5,,
11651006,2.5,2.5,,
11658006,1.5,2.0,1.5,
13023106,2.5,2.5,2.0,2.5
11644706,1.5,3.0,,
15634106,4.0,4.0,,
13031006,4.0,4.0,,
11645206,2.0,1.5,2.0,2.0
11656706,2.5,2.0,1.0,2.0
11644606,2.0,2.0,,
11645006,2.0,2.0,,
13022506,2.0,2.5,2.0,1.5
13032006,2.5,2.5,2.5,2.5
11646406,,4.0,,
13032606,2.0,2.5,2.0,2.5
14316906,4.0,4.0,,
13020406,1.5,3.0,2.0,2.5
11652906,1.0,2.0,,
14303406,2.5,3.0,1.5,3.0
13500306,2.0,3.0,3.0,3.0
13499406,4.0,4.0,,
14297906,4.0,4.0,,
13019606,2.5,2.0,1.5,2.5
11648506,1.5,2.0,,
12234906,2.0,2.0,,
13023406,,4.0,,
13023706,4.0,4.0,,
12237006,2.0,2.5,,
13499306,4.0,4.0,,
11655906,1.0,1.5,,
11654106,,3.0,,
13017606,2.0,4.0,4.0,3.0
11656506,1.5,2.0,1.5,1.5
12234306,1.0,3.0,,
15644506,3.0,2.0,2.0,2.5
13035606,1.5,2.5,2.0,2.5
13035006,2.0,3.0,3.0,2.0
11658206,1.5,2.0,2.0,1.0
13033206,2.0,2.5,2.0,2.0
13034106,3.0,2.5,1.5,3.0
12235906,,4.0,,
14298506,2.0,2.5,4.0,4.0
13032206,2.5,3.0,2.5,2.5
13026806,2.0,2.5,3.0,2.5
13031206,4.0,4.0,1.5,
13031406,1.5,2.0,1.5,2.5
13501406,4.0,4.0,,
11648406,1.0,2.5,,
11649706,2.0,3.0,,
13034506,2.5,2.0,1.5,2.5
11657906,,4.0,,
14250806,4.0,4.0,,
11651506,,4.0,,
11659006,2.0,3.0,,
11643606,1.5,2.0,,
11655606,,,,
13021306,2.5,2.5,2.0,2.5
11654006,1.5,2.0,,
11647706,,,,
13033606,2.0,2.5,3.0,3.0
