studium_id,typ_programu,forma_studia,datum_zahajeni,datum_ukonceni,rocnik,studijni_stav,studuje,jazyk_vyuky,ukonceni_zpusob,rok_maturity,odkud_skola_kod
9223606,B,P,2014,2015,1.0,3,K,CS,2.0,2012,999999398
9192606,B,P,2014,2014,1.0,3,K,CS,2.0,2014,107830396
9189706,B,P,2014,2018,4.0,17,K,CS,1.0,2014,335606
11668606,B,K,2015,2016,1.0,7,K,CS,3.0,2004,110001885
9223406,B,P,2014,2015,2.0,3,K,CS,2.0,2014,108054063
9222806,B,P,2014,2015,1.0,3,K,CS,2.0,2014,87131
9672906,B,P,2014,2015,2.0,7,K,CS,3.0,2014,999999703
9191906,B,P,2014,2015,1.0,3,K,CS,2.0,2014,108001491
9223206,B,P,2014,2015,1.0,7,K,CS,3.0,2014,61357235
9192206,B,P,2014,2017,3.0,17,K,CS,1.0,2013,999999643
9189306,B,P,2014,2016,3.0,7,K,CS,3.0,2014,638374
9191406,B,P,2014,2015,1.0,3,K,CS,2.0,2014,77143
9190006,B,P,2014,2016,3.0,7,K,CS,3.0,2014,108007014
11669206,B,K,2015,2016,1.0,7,K,CS,3.0,2011,999999703
9673106,B,P,2014,2017,3.0,17,K,CS,1.0,2014,81850
9224106,B,P,2014,2015,2.0,3,K,CS,2.0,2014,999999703
9220806,B,P,2014,2015,1.0,7,K,CS,3.0,2014,602132
9192406,B,P,2014,2017,4.0,17,K,CS,1.0,2014,18383874
9222006,B,P,2014,2016,2.0,3,K,CS,2.0,2014,574406
9188606,B,P,2014,2016,3.0,3,K,CS,2.0,2014,60446218
9221406,B,P,2014,2016,2.0,3,K,CS,2.0,2014,61386855
11672506,B,K,2015,2016,1.0,7,K,CS,3.0,2007,61386855
9186806,B,P,2014,2018,4.0,17,K,CS,1.0,2014,81931
9674306,B,K,2014,2017,4.0,3,K,CS,2.0,2006,110011295
9190806,B,P,2014,2015,1.0,7,K,CS,3.0,2013,638188
9223906,B,P,2014,2015,1.0,7,K,CS,3.0,2014,638307
9221806,B,P,2014,2016,3.0,3,K,CS,2.0,2011,63109026
9190606,B,P,2014,2019,4.0,17,K,CS,1.0,2014,87297
9220306,B,P,2014,2015,1.0,7,K,CS,3.0,2014,638421
11672306,B,K,2015,2015,1.0,3,K,CS,2.0,2012,62029754
9190206,B,P,2014,2017,3.0,17,K,CS,1.0,2014,87297
9221606,B,P,2014,2016,2.0,3,K,CS,2.0,2014,61386022
9190506,B,P,2014,2015,2.0,7,K,CS,3.0,2014,999999703
9186406,B,P,2014,2015,1.0,7,K,CS,3.0,2012,77224
9222606,B,P,2014,2015,2.0,3,K,CS,2.0,2014,519324
9673606,B,K,2014,2015,1.0,7,K,CS,3.0,2012,110036514
9223706,B,P,2014,2016,2.0,3,K,CS,2.0,2014,638374
9672506,B,P,2014,2015,2.0,3,K,CS,2.0,2009,49625446
9189106,B,P,2014,2017,3.0,17,K,CS,1.0,2014,60074281
11669406,B,K,2015,2016,1.0,7,K,CS,3.0,2015,61386855
9187006,B,P,2014,2015,1.0,7,K,CS,3.0,2014,61924059
9221006,B,P,2014,2015,1.0,7,K,CS,3.0,2012,334677
9221706,B,P,2014,2015,2.0,3,K,CS,2.0,2014,68888
9673906,B,K,2014,2016,3.0,7,K,CS,3.0,2009,401081
9223506,B,P,2014,2015,1.0,7,K,CS,3.0,2011,110032641
11672606,B,K,2015,2016,1.0,7,K,CS,3.0,2008,999999703
9224606,B,P,2014,2015,1.0,3,K,CS,2.0,2014,392642
9191306,B,P,2014,2015,2.0,7,K,CS,3.0,2014,638374
9189606,B,P,2014,2018,4.0,17,K,CS,1.0,2014,108054080
9187106,B,P,2014,2015,1.0,3,K,CS,2.0,2014,48160989
9224006,B,P,2014,2014,1.0,3,K,CS,2.0,2011,600011054
9192506,B,P,2014,2015,2.0,7,K,CS,3.0,2014,102454302
9190706,B,P,2014,2017,3.0,17,K,CS,1.0,2014,108054071
9222506,B,P,2014,2014,1.0,3,K,CS,2.0,2012,61386855
9674206,B,K,2014,2015,1.0,7,K,CS,3.0,2010,999999703
9186206,B,P,2014,2016,2.0,17,K,CS,1.0,2012,600171701
9221206,B,P,2014,2018,4.0,17,K,CS,1.0,2014,110001656
9219206,B,P,2014,2017,4.0,7,K,CS,3.0,2014,999999703
9187906,B,P,2014,2015,1.0,7,K,CS,3.0,2013,999999643
9224306,B,P,2014,2014,1.0,3,K,CS,2.0,2013,999999703
9189006,B,P,2014,2017,4.0,17,K,CS,1.0,2013,392642
9222306,B,P,2014,2015,2.0,3,K,CS,2.0,2014,638200
9219006,B,P,2014,2015,2.0,7,K,CS,3.0,2014,600017583
9188906,B,P,2014,2018,4.0,17,K,CS,1.0,2014,82201
9191006,B,P,2014,2017,3.0,17,K,CS,1.0,2014,76996
9185806,B,P,2014,2017,3.0,17,K,CS,1.0,2014,48160989
9219506,B,P,2014,2015,2.0,3,K,CS,2.0,2006,999999643
9188406,B,P,2014,2017,3.0,17,K,CS,1.0,2014,108001491
9188306,B,P,2014,2014,1.0,3,K,CS,2.0,2014,999999703
9187506,B,P,2014,2015,2.0,3,K,CS,2.0,2014,49778099
9216806,B,P,2014,2017,3.0,17,K,CS,1.0,2010,999999703
9220106,B,P,2014,2017,3.0,17,K,CS,1.0,2014,108027457
9222106,B,P,2014,2015,1.0,3,K,CS,2.0,2012,82139
9188706,B,P,2014,2017,3.0,17,K,CS,1.0,2014,638421
9217806,B,P,2014,2015,2.0,7,K,CS,3.0,2014,102145571
9187606,B,P,2014,2016,3.0,7,K,CS,3.0,2014,108047792
9218906,B,P,2014,2015,2.0,7,K,CS,3.0,2014,108001491
9221906,B,P,2014,2015,1.0,3,K,CS,2.0,2012,82201
9224506,B,P,2014,2014,1.0,3,K,CS,2.0,2014,110400038
9189806,B,P,2014,2015,1.0,7,K,CS,3.0,2011,999999643
9216906,B,K,2014,2015,1.0,7,K,CS,3.0,2013,600007766
9220706,B,P,2014,2015,2.0,3,K,CS,2.0,2014,110032233
9191206,B,P,2014,2015,1.0,7,K,CS,3.0,2014,61386022
9188506,B,P,2014,2017,3.0,17,K,CS,1.0,2014,110001630
9189506,B,P,2014,2016,3.0,7,K,CS,3.0,2013,999999643
9186706,B,P,2014,2015,1.0,3,K,CS,2.0,2014,69027
11670306,B,K,2015,2016,1.0,7,K,CS,3.0,1998,82201
11796406,B,P,2015,2016,1.0,7,K,CS,3.0,2014,999999999
9218606,B,P,2014,2015,1.0,7,K,CS,3.0,2014,130002381
11670106,B,K,2015,2016,1.0,7,K,CS,3.0,2010,999999703
9665206,B,P,2014,2015,1.0,7,K,CS,3.0,2011,61924059
9671806,B,P,2014,2018,5.0,17,K,CS,1.0,2014,999999703
11664706,B,K,2015,2016,1.0,3,K,CS,2.0,2008,335479
11664306,B,K,2015,2015,1.0,3,K,CS,2.0,1991,999999999
9665906,B,P,2014,2015,2.0,7,K,CS,3.0,2014,60884711
12987606,B,P,2016,2018,2.0,7,K,CS,3.0,2016,108006948
11662506,B,K,2015,2016,1.0,7,K,CS,3.0,2010,110030982
11664106,B,K,2015,2016,1.0,7,K,CS,3.0,2007,108001491
11665206,B,K,2015,2016,1.0,7,K,CS,3.0,2007,49766929
9669106,B,P,2014,2018,4.0,17,K,CS,1.0,2014,335479
9675706,B,K,2014,2016,3.0,3,K,CS,2.0,1996,555555555
13005206,B,P,2016,2017,2.0,7,K,CS,3.0,2016,60103337
9664506,B,P,2014,2015,1.0,7,K,CS,3.0,2014,999999703
9672006,B,P,2014,2015,2.0,3,K,CS,2.0,2013,60884703
9667706,B,P,2014,2017,3.0,17,K,CS,1.0,2013,102319995
9668806,B,P,2014,2016,2.0,3,K,CS,2.0,2013,999999643
12289106,B,P,2015,2016,1.0,7,K,CS,3.0,2015,81922
9666406,B,P,2014,2015,1.0,3,K,CS,2.0,2014,999999804
9675206,B,K,2014,2016,3.0,3,K,CS,2.0,1994,666666666
9664106,B,P,2014,2015,1.0,7,K,CS,3.0,2014,999999643
9674706,B,K,2014,2015,1.0,3,K,CS,2.0,2001,555555555
12290106,B,P,2015,2016,1.0,3,K,CS,2.0,2015,497070
9668006,B,P,2014,2018,4.0,17,K,CS,1.0,2014,600012590
9668206,B,P,2014,2017,3.0,17,K,CS,1.0,2014,61386855
11663906,B,K,2015,2016,1.0,7,K,CS,3.0,2006,638358
9675406,B,K,2014,2015,1.0,3,K,CS,2.0,1997,638200
9664306,B,P,2014,2016,2.0,17,K,CS,1.0,2012,81868
9667506,B,P,2014,2015,1.0,7,K,CS,3.0,2011,81825
9674806,B,K,2014,2015,1.0,3,K,CS,2.0,2006,47558407
11662606,B,K,2015,2018,3.0,3,K,CS,2.0,2011,61388866
9675306,B,K,2014,2015,1.0,3,K,CS,2.0,2007,110001656
11664406,B,K,2015,2016,1.0,3,K,CS,2.0,2008,61386855
9183606,B,P,2014,2015,2.0,7,K,CS,3.0,2014,601535
9222406,B,P,2014,2015,2.0,3,K,CS,2.0,2013,76953
9221306,B,P,2014,2015,1.0,7,K,CS,3.0,2013,110036514
9218406,B,P,2014,2015,2.0,7,K,CS,3.0,2014,40230457
9221106,B,P,2014,2018,5.0,7,K,CS,3.0,2014,110001630
9220006,B,P,2014,2015,1.0,3,K,CS,2.0,2013,61388866
9216706,B,P,2014,2015,2.0,3,K,CS,2.0,2014,81922
9217706,B,P,2014,2016,3.0,7,K,CS,3.0,2014,60449004
9187706,B,P,2014,2016,2.0,3,K,CS,2.0,2014,81931
9185006,B,P,2014,2015,1.0,3,K,CS,2.0,2014,110250591
9218206,B,P,2014,2018,4.0,17,K,CS,1.0,2014,638200
9184406,B,P,2014,2017,3.0,17,K,CS,1.0,2014,82147
9217006,B,P,2014,2016,2.0,3,K,CS,2.0,2014,72869
9183306,B,P,2014,2015,1.0,7,K,CS,3.0,2014,110400038
9222706,B,P,2014,2016,2.0,17,K,CS,1.0,2012,82147
9219806,B,P,2014,2017,3.0,7,K,CS,3.0,2011,76953
9184806,B,P,2014,2015,2.0,3,K,CS,2.0,2011,999999703
9189206,B,P,2014,2015,1.0,3,K,CS,2.0,2014,60075775
9183806,B,P,2014,2017,4.0,17,K,CS,1.0,2014,61385271
9217306,B,P,2014,2017,3.0,17,K,CS,1.0,2014,999999703
9184606,B,P,2014,2015,2.0,3,K,CS,2.0,2014,63109026
9220606,B,P,2014,2015,1.0,3,K,CS,2.0,2014,61357278
9217406,B,P,2014,2016,3.0,3,K,CS,2.0,2014,999999703
9218006,B,P,2014,2015,1.0,3,K,CS,2.0,2014,110400038
9185706,B,P,2014,2014,1.0,3,K,CS,2.0,2014,61386855
9219306,B,P,2014,2015,2.0,7,K,CS,3.0,2014,999999703
9218306,B,P,2014,2016,3.0,7,K,CS,3.0,2014,87297
9184706,B,P,2014,2015,1.0,3,K,CS,2.0,2014,110001630
9219106,B,P,2014,2015,1.0,3,K,CS,2.0,2014,600009084
9214306,B,P,2014,2015,1.0,7,K,CS,3.0,2013,999999643
9178406,B,P,2014,2016,3.0,7,K,CS,3.0,2014,102319936
9183706,B,P,2014,2017,3.0,17,K,CS,1.0,2014,81931
9180706,B,P,2014,2015,2.0,3,K,CS,2.0,2014,638188
9182406,B,P,2014,2015,1.0,3,K,CS,2.0,2014,392642
9216306,B,P,2014,2014,1.0,3,K,CS,2.0,2014,108007057
9176706,B,P,2014,2017,3.0,17,K,CS,1.0,2014,81841
9179906,B,P,2014,2017,3.0,17,K,CS,1.0,2013,999999804
9181806,B,P,2014,2016,3.0,7,K,CS,3.0,2012,401072
9179306,B,P,2014,2015,1.0,3,K,CS,2.0,2014,61384992
9212406,B,P,2014,2015,2.0,7,K,CS,3.0,2013,999999398
9210406,B,P,2014,2016,2.0,17,K,CS,1.0,2011,999999703
9213606,B,P,2014,2015,2.0,7,K,CS,3.0,2013,181033577
9182906,B,P,2014,2016,2.0,7,K,CS,3.0,2014,108001491
9215206,B,P,2014,2015,2.0,3,K,CS,2.0,2012,49625446
9179706,B,P,2014,2015,1.0,7,K,CS,3.0,2010,60103337
9213406,B,P,2014,2015,1.0,7,K,CS,3.0,2013,999999643
9180106,B,P,2014,2017,3.0,17,K,CS,1.0,2014,69027
9176306,B,P,2014,2019,4.0,17,K,CS,1.0,2014,47558407
9178606,B,P,2014,2016,2.0,3,K,CS,2.0,2014,44065663
9212706,B,P,2014,2015,1.0,7,K,CS,3.0,2013,999999643
9179506,B,P,2014,2017,3.0,17,K,CS,1.0,2014,335606
9212806,B,P,2014,2015,1.0,7,K,CS,3.0,2013,999999643
