studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,pocet_kreditu_semestr_1,BI-PA2_znamka,BI-PA2_poradi_zapisu,BI-DBS_znamka,BI-DBS_poradi_zapisu,BI-SAP_znamka,BI-SAP_poradi_zapisu,BI-LIN_znamka,BI-LIN_poradi_zapisu,pocet_kreditu_semestr_2,BI-AAG_znamka,BI-AAG_poradi_zapisu,BI-ZDM_znamka,BI-ZDM_poradi_zapisu,BI-AG1_znamka,BI-AG1_poradi_zapisu,pocet_kreditu_semestr_3
11696506,1.0,1.5,1.0,2.0,1.0,1.5,1.0,1.5,1.0,2.5,1.0,2.5,1.0,25.0,4.0,1.0,2.5,2.0,3.0,1.0,4.0,1.0,14.0,4.0,1.0,4.0,1.0,2.0,1.0,20.0
11716206,1.0,2.5,1.0,2.0,1.0,1.0,1.0,2.5,2.0,2.0,1.0,1.5,1.0,21.0,4.0,1.0,2.0,1.0,4.0,1.0,2.5,1.0,18.0,4.0,1.0,2.5,1.0,4.0,1.0,20.0
11728106,1.0,2.0,1.0,2.5,1.0,1.0,1.0,1.5,1.0,2.5,1.0,2.0,1.0,22.0,2.5,1.0,1.5,1.0,1.0,1.0,3.0,1.0,25.0,2.5,1.0,2.0,1.0,2.5,1.0,30.0
11742906,1.0,3.0,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.0,1.0,2.5,1.0,25.0,2.5,1.0,2.0,1.0,2.0,1.0,4.0,1.0,27.0,2.5,1.0,2.0,1.0,2.0,1.0,25.0
11729006,1.0,2.5,1.0,2.5,1.0,1.0,1.0,2.5,2.0,2.0,1.0,2.5,2.0,19.0,4.0,1.0,2.5,1.0,2.0,1.0,4.0,1.0,17.0,4.0,1.0,4.0,1.0,4.0,1.0,19.0
14292406,0.0,1.5,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,2.0,1.0,24.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,17.0,-1.0,-1.0,-1.0,-1.0,1.5,1.0,17.0
12032806,0.0,1.5,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,2.0,1.0,28.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,23.0,4.0,1.0,4.0,1.0,1.5,1.0,19.0
11736806,0.0,1.0,1.0,2.5,1.0,1.5,1.0,3.0,1.0,2.5,2.0,4.0,2.0,18.0,2.0,1.0,2.5,1.0,1.0,1.0,4.0,1.0,19.0,4.0,1.0,-1.0,-1.0,4.0,1.0,9.0
11716806,0.0,3.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,2.5,1.0,2.0,1.0,26.0,2.5,1.0,2.5,1.0,2.5,1.0,4.0,1.0,27.0,3.0,1.0,4.0,1.0,4.0,1.0,18.0
11728306,1.0,2.0,1.0,2.5,1.0,1.5,1.0,2.0,1.0,2.5,1.0,2.5,1.0,27.0,4.0,1.0,-1.0,-1.0,1.5,1.0,2.5,1.0,17.0,1.5,2.0,-1.0,-1.0,2.5,1.0,32.0
