studium_id,BI-AAG,BI-ZMA,BI-LIN,BI-ZDM,prumer
14258206,3.0,2.0,2.0,2.0,2.25
12988306,2.0,1.5,2.5,2.0,2.0
16716006,,1.0,,4.0,2.5
15563206,,,,,
17926906,,1.5,3.0,,2.25
18606206,,,4.0,3.0,3.5
17327006,3.0,,,,3.0
17911906,,2.5,4.0,,3.25
18599506,,3.0,,,3.0
18607806,,2.0,,,2.0
16715906,,,,4.0,4.0
18604906,,4.0,,,4.0
15551506,,2.5,4.0,,3.25
17321106,4.0,2.5,2.5,2.0,2.75
16753406,2.5,2.0,,2.5,2.3333333333333335
17915306,,4.0,,,4.0
18639206,,,,,
17945906,,2.5,,,2.5
17935106,,4.0,,,4.0
16760106,,,2.0,,2.0
14295306,2.0,2.5,2.5,2.0,2.25
14241806,2.0,1.5,2.5,1.5,1.875
17921206,,,,,
17336006,3.0,,,,3.0
19684706,,,,,
17328306,,,3.0,2.0,2.5
19512006,,,,,
19658406,,,,,
19463306,,,,,
19550306,,,,,
15577706,2.0,1.5,2.0,2.0,1.875
15585606,2.5,1.5,2.5,2.5,2.25
17322306,2.5,,2.5,2.5,2.5
15564806,2.0,2.0,2.0,2.5,2.125
13509606,2.0,2.0,3.0,2.5,2.375
17934706,,,,,
15558706,2.0,2.5,2.0,2.0,2.125
14261206,2.5,2.0,3.0,3.0,2.625
14252106,1.0,1.0,1.0,1.0,1.0
17322206,,,2.5,2.5,2.5
14311606,2.0,1.0,2.0,2.0,1.75
14299606,2.5,1.0,1.5,2.5,1.875
14262906,1.5,2.0,2.0,2.5,2.0
15554806,2.5,1.0,2.5,2.0,2.0
18585006,4.0,,4.0,,4.0
15552106,3.0,2.5,2.0,2.5,2.5
14315806,1.0,2.0,2.5,3.0,2.125
15587706,1.5,1.5,2.0,2.5,1.875
16187606,2.5,1.5,2.5,2.0,2.125
14274106,1.0,1.5,2.5,2.0,1.75
14293406,2.5,2.5,2.0,2.5,2.375
14810806,2.0,2.0,3.0,3.0,2.5
14314606,2.5,2.0,2.5,2.5,2.375
12949306,,,,,
17934606,,4.0,,,4.0
18602606,,,,,
16713006,3.0,2.5,2.5,,2.6666666666666665
16749106,,4.0,,,4.0
16755006,3.0,1.0,1.0,1.0,1.5
17936106,,4.0,,,4.0
17334106,,2.5,2.5,,2.5
17939506,,2.0,4.0,,3.0
16717906,4.0,4.0,4.0,2.5,3.625
4772306,,,,,
15584606,4.0,2.5,3.0,2.0,2.875
14266606,1.0,1.5,2.5,1.5,1.625
16711906,1.5,,1.5,3.0,2.0
15562706,1.0,1.5,2.0,1.5,1.5
14303906,1.5,2.0,3.0,2.5,2.25
15577606,1.0,1.0,1.0,1.5,1.125
15619306,1.5,1.5,2.5,1.5,1.75
14247406,1.5,2.0,2.5,2.5,2.125
15570406,2.5,1.5,2.5,1.5,2.0
15552606,2.0,1.0,2.5,1.5,1.75
17949206,,4.0,2.0,,3.0
15560306,1.5,1.0,1.0,1.5,1.25
15593806,1.0,1.0,1.5,1.0,1.125
15603506,2.0,1.5,,2.0,1.8333333333333333
14800206,2.0,1.5,3.0,2.0,2.125
15576206,1.0,1.0,1.5,1.0,1.125
15550106,2.0,1.0,2.0,2.0,1.75
15618306,1.5,1.0,2.0,1.5,1.5
15605106,1.0,1.0,1.0,1.5,1.125
14279506,1.5,2.0,3.0,2.5,2.25
17922206,,1.5,2.0,,1.75
16193006,2.5,2.0,2.5,2.5,2.375
15555806,2.0,2.0,2.5,2.5,2.25
15607906,2.0,2.0,3.0,1.5,2.125
15608606,2.5,2.5,2.5,2.5,2.5
15599606,1.0,1.5,1.0,1.5,1.25
15560606,2.5,2.0,2.5,2.0,2.25
17911606,,2.0,,,2.0
14280606,3.0,2.5,3.0,3.0,2.875
14273606,1.5,2.0,3.0,3.0,2.375
16710806,,2.5,2.5,4.0,3.0
14283406,2.0,1.0,2.5,1.5,1.75
15595006,1.5,2.0,1.5,2.5,1.875
15620406,1.5,1.0,2.0,2.0,1.625
14285206,3.0,1.5,3.0,2.5,2.5
15598206,1.0,1.5,2.5,2.0,1.75
17945706,,2.5,3.0,,2.75
15604506,1.5,2.0,2.5,2.0,2.0
15590006,1.0,2.0,2.5,2.0,1.875
15614406,1.5,3.0,2.5,2.5,2.375
14258806,1.0,1.0,2.0,1.5,1.375
15594706,1.5,1.5,2.0,2.0,1.75
15592306,1.0,1.0,2.0,1.0,1.25
15598406,1.5,1.5,2.0,2.5,1.875
14304606,2.0,2.0,2.5,2.0,2.125
14804206,2.0,1.5,2.5,2.5,2.125
17334606,4.0,2.0,2.5,,2.8333333333333335
15557106,2.0,2.0,2.5,2.0,2.125
14313006,2.0,2.0,2.5,2.5,2.25
15568206,2.5,2.5,2.5,2.5,2.5
15585406,2.0,2.0,2.0,2.0,2.0
16188506,2.0,1.5,3.0,2.5,2.25
15580006,2.0,2.0,2.5,2.0,2.125
15562206,1.5,2.5,2.5,2.5,2.25
14265106,1.0,1.5,2.5,2.0,1.75
14307706,2.0,2.5,2.5,2.5,2.375
15587906,1.0,2.0,2.0,3.0,2.0
14242706,1.0,2.0,2.0,2.0,1.75
14315006,1.5,1.5,3.0,2.5,2.125
14295506,1.5,2.0,3.0,2.5,2.25
14260406,2.5,2.0,2.0,2.5,2.25
14257106,1.5,2.0,2.5,2.5,2.125
15570106,1.5,1.5,1.5,1.0,1.375
15567906,1.5,1.5,2.0,2.5,1.875
15609406,2.5,2.0,3.0,2.5,2.5
15561106,1.0,1.0,2.5,1.5,1.5
14291806,1.5,1.5,1.5,1.5,1.5
18605806,,2.0,2.5,,2.25
18600706,,2.0,2.5,,2.25
17908906,,1.5,4.0,,2.75
17329306,1.5,2.0,2.0,2.5,2.0
15599206,2.0,1.5,2.5,2.5,2.125
16722006,,,3.0,,3.0
16763306,3.0,2.5,2.5,2.5,2.625
16734406,,,4.0,4.0,4.0
16723706,,2.5,1.5,,2.0
14280706,2.0,1.0,1.5,2.5,1.75
15574106,2.0,1.5,2.0,2.0,1.875
15559306,2.5,2.5,,4.0,3.0
18597106,,1.5,,,1.5
18595606,,1.5,2.0,,1.75
16770806,2.5,2.0,2.0,2.0,2.125
17914806,,2.0,,,2.0
17951406,,2.0,2.5,,2.25
16726106,,1.5,2.0,2.0,1.8333333333333333
17946306,,1.5,1.5,,1.5
16755206,2.0,1.5,1.5,1.0,1.5
17930606,,,2.5,,2.5
17902406,,,,,
17916106,,4.0,,,4.0
15621206,2.5,2.5,3.0,2.5,2.625
17325506,,,4.0,,4.0
17948006,,,,,
16753506,2.5,2.5,2.0,2.0,2.25
18590206,,2.5,,,2.5
15613006,,,3.0,,3.0
15551406,2.5,1.5,2.0,2.0,2.0
18596106,,,,,
17911306,,,,,
17924906,,1.5,1.0,,1.25
17943206,,2.0,,,2.0
16721806,3.0,1.5,3.0,2.0,2.375
17926606,,2.0,4.0,,3.0
17943306,,2.5,,,2.5
17903106,,4.0,,,4.0
17919906,,,,,
15558506,1.5,1.5,4.0,2.5,2.375
18604306,,,,,
14267006,1.5,1.0,3.0,,1.8333333333333333
17951306,,4.0,,,4.0
15557006,2.0,2.0,1.5,2.0,1.875
16718906,4.0,4.0,,,4.0
18584006,,1.5,1.5,,1.5
17920206,,1.0,1.0,,1.0
17945806,,2.0,4.0,,3.0
17323806,2.0,2.5,2.0,4.0,2.625
17942106,,2.5,3.0,,2.75
17918306,,4.0,,,4.0
17915106,,2.5,,,2.5
17915506,,1.5,1.5,,1.5
17906006,,1.0,1.0,,1.0
17938306,,,,,
17913806,,1.5,1.5,,1.5
18587406,,1.5,1.0,,1.25
17930706,,2.5,3.0,,2.75
16727206,2.0,2.0,4.0,2.0,2.5
17914006,,,,,
17922506,,2.5,,,2.5
17923406,,1.5,1.5,,1.5
17948906,,2.5,1.5,,2.0
17922806,,2.0,4.0,,3.0
17940606,,2.5,3.0,,2.75
17932406,,1.0,2.0,,1.5
17935006,,1.5,2.0,,1.75
17935806,,1.5,2.5,,2.0
17902606,,2.5,2.5,,2.5
17943006,,4.0,,,4.0
16724506,1.5,,2.5,4.0,2.6666666666666665
15558406,2.0,2.0,2.5,2.5,2.25
17918106,,1.5,2.0,,1.75
17906406,,1.5,2.0,,1.75
17914606,,4.0,3.0,,3.5
17917106,,2.0,2.5,,2.25
17950306,,1.5,1.5,,1.5
16735806,2.0,2.0,2.0,2.5,2.125
16732906,4.0,2.5,,3.0,3.1666666666666665
15593906,1.5,2.0,2.5,2.0,2.0
16748406,3.0,2.5,2.5,2.5,2.625
16733206,2.0,2.0,1.5,2.0,1.875
17942206,,4.0,,,4.0
17943406,,1.5,1.5,,1.5
17904306,,2.0,,,2.0
16747906,4.0,2.5,2.0,,2.8333333333333335
16723106,4.0,2.5,2.5,,3.0
16722106,2.0,2.0,3.0,2.0,2.25
16746806,1.0,1.0,2.5,2.0,1.625
17932706,,2.0,,,2.0
17953306,,4.0,,,4.0
16751906,2.5,1.0,,3.0,2.1666666666666665
17928406,,1.5,1.0,,1.25
17925006,,4.0,,,4.0
15604606,2.0,2.5,3.0,,2.5
15553306,1.5,1.0,1.5,1.0,1.25
15591906,1.5,1.5,2.5,1.0,1.625
17932806,,,,,
16736606,2.5,,4.0,4.0,3.5
17922706,,2.0,1.5,,1.75
16754106,2.0,2.0,2.0,2.0,2.0
16772906,,2.5,2.0,4.0,2.8333333333333335
16766306,4.0,2.5,2.5,4.0,3.25
18584206,,2.0,2.0,,2.0
15556006,1.5,1.0,2.5,1.5,1.625
17943806,,4.0,,,4.0
18590606,,4.0,,,4.0
17924206,,2.0,2.5,,2.25
17323606,3.0,2.5,2.5,,2.6666666666666665
16743506,2.0,2.5,2.0,,2.1666666666666665
17927106,,4.0,3.0,,3.5
17904806,,1.5,2.0,,1.75
16744206,2.5,1.5,2.0,2.0,2.0
16741906,,4.0,4.0,,4.0
16727806,,3.0,4.0,,3.5
15618506,1.5,1.0,2.5,2.5,1.875
15622606,1.5,2.0,2.5,2.5,2.125
15600106,2.5,2.5,2.0,3.0,2.5
14270906,2.5,2.0,3.0,2.5,2.5
14812706,2.5,2.0,2.5,3.0,2.5
15555906,1.0,1.0,1.5,1.5,1.25
15550906,2.0,2.0,2.0,2.5,2.125
14285506,2.0,2.0,3.0,3.0,2.5
15550806,2.0,2.5,2.5,2.5,2.375
18598806,,,,,
18595706,,2.5,2.0,,2.25
17918606,,1.5,2.5,,2.0
14810406,,,1.5,2.5,2.0
15596106,2.0,1.0,2.0,2.5,1.875
15561006,1.0,1.0,2.0,1.0,1.25
15604306,2.5,1.5,2.5,2.5,2.25
15594806,1.0,1.0,1.0,1.0,1.0
15597106,1.5,1.5,2.0,2.5,1.875
14302906,2.5,2.0,2.5,2.0,2.25
14802706,1.0,1.5,1.5,1.5,1.375
14259706,2.5,2.0,2.5,3.0,2.5
15609106,2.5,2.0,2.5,2.5,2.375
14292806,1.5,2.0,2.0,2.5,2.0
14280006,1.5,2.0,2.5,1.5,1.875
15577806,1.0,1.5,2.5,2.0,1.75
15571606,1.5,2.0,3.0,1.0,1.875
15556606,1.5,1.0,1.5,1.0,1.25
14294406,2.0,2.0,1.5,2.5,2.0
16749806,,,,,
15589206,2.0,1.5,3.0,2.5,2.25
15579406,2.0,1.5,2.0,2.5,2.0
14295906,2.5,2.0,2.5,2.0,2.25
15602906,2.5,2.0,2.5,2.5,2.375
15575906,1.0,1.0,1.5,1.5,1.25
15553906,3.0,2.0,2.5,2.0,2.375
14296106,1.5,1.5,2.0,2.0,1.75
15596706,1.5,1.5,2.0,1.5,1.625
14313106,1.5,1.5,2.0,2.0,1.75
14311006,1.5,1.5,2.0,2.5,1.875
15581206,1.5,1.5,2.0,2.0,1.75
14276506,2.5,2.0,3.0,2.5,2.5
18591706,,,,,
16729106,1.0,1.0,1.0,1.0,1.0
18587206,,4.0,,,4.0
17330506,,2.5,3.0,4.0,3.1666666666666665
14797906,2.0,2.5,3.0,2.5,2.5
15570206,2.5,2.0,3.0,2.0,2.375
15570506,1.0,1.0,2.0,1.0,1.25
15581406,2.5,2.0,2.5,2.5,2.375
17928206,,2.5,2.5,,2.5
14279706,1.5,1.5,2.5,2.5,2.0
14278006,1.5,2.0,2.5,2.0,2.0
14258906,1.5,2.5,2.0,2.0,2.0
18603906,,1.0,2.0,,1.5
15585006,2.0,2.5,2.5,2.5,2.375
14803906,2.5,2.0,2.5,2.5,2.375
14284306,2.5,2.0,2.5,2.5,2.375
18597006,,1.5,4.0,,2.75
16768406,,2.5,4.0,,3.25
17950206,,4.0,,,4.0
18593206,,,,,
17906206,,2.5,,,2.5
17919706,,,,,
17912706,,4.0,,,4.0
17915706,,4.0,2.0,,3.0
18597906,,,,,
17948306,,3.0,,,3.0
17910006,,2.0,2.5,,2.25
17333606,2.0,2.0,2.0,1.0,1.75
16738206,3.0,1.5,2.5,2.0,2.25
16721106,3.0,2.0,2.5,2.0,2.375
17931106,,4.0,,,4.0
17941306,,,,,
18604706,,4.0,,,4.0
17938206,,2.5,,,2.5
18588906,,4.0,,,4.0
18589906,,2.0,2.0,,2.0
17916706,,4.0,,,4.0
16735906,2.0,1.5,2.0,2.5,2.0
17923706,,4.0,,,4.0
16731006,1.5,1.5,1.0,2.5,1.625
17928906,,,,,
17951506,2.5,,2.0,,2.25
17904606,,4.0,,,4.0
17376606,2.0,2.0,2.5,,2.1666666666666665
16741306,1.5,1.0,1.5,1.0,1.25
16750406,2.5,3.0,2.0,2.5,2.5
17936606,,1.5,,,1.5
17932006,,4.0,2.0,,3.0
16761206,2.0,1.0,2.0,1.5,1.625
16740706,1.5,1.0,3.0,2.0,1.875
16743706,2.5,1.5,1.5,2.0,1.875
16763106,2.5,2.0,2.0,2.5,2.25
16773506,2.0,1.5,2.0,1.5,1.75
16760706,1.0,1.5,1.0,2.0,1.375
16723406,,2.5,1.5,3.0,2.3333333333333335
16722506,2.0,2.0,4.0,,2.6666666666666665
16731906,,2.0,3.0,,2.5
16722706,3.0,2.0,2.0,2.0,2.25
15609206,2.0,2.0,1.5,2.0,1.875
18585406,,1.5,,,1.5
18598406,,4.0,3.0,,3.5
16756706,4.0,2.0,3.0,4.0,3.25
16744606,1.5,2.5,1.5,,1.8333333333333333
17903006,,1.5,2.5,,2.0
15553806,2.5,2.0,2.5,2.0,2.25
15560106,2.5,2.0,1.5,2.0,2.0
15595706,2.0,1.5,2.5,2.0,2.0
