studium_id,dokoncil_semestr,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
11690006,0.0,0,1,2015,2014,1,0,0,0,0,0,0
15590806,1.0,0,1,2018,2014,4,0,1,0,0,0,0
12030306,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11681806,0.0,0,1,2015,2014,1,1,1,0,0,0,0
13011206,0.0,0,1,2016,2014,2,1,1,0,0,0,0
12990106,1.0,0,1,2016,2014,2,0,0,0,0,0,0
13012606,1.0,0,1,2016,2014,2,1,0,0,0,0,0
11668806,0.0,0,1,2015,2013,2,1,0,0,0,0,0
14799206,1.0,0,1,2017,2013,4,1,1,0,0,0,0
11696506,1.0,0,1,2015,2013,2,1,1,0,0,0,0
11709606,0.0,1,0,2015,2013,2,0,1,0,0,0,0
11743206,1.0,1,0,2015,2013,2,0,2,0,0,0,0
14304006,0.0,1,0,2017,2013,4,0,2,0,0,0,0
11716206,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11681506,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11728106,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11690606,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11715006,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11687506,0.0,0,1,2015,2014,1,0,1,0,0,0,0
12035206,0.0,0,0,2015,2013,2,0,2,0,0,0,0
17919506,0.0,0,1,2020,2014,6,0,0,1,1,0,0
14257206,1.0,0,1,2017,2014,3,1,0,0,0,0,0
11694806,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11742906,1.0,0,0,2015,2013,2,0,2,0,0,0,0
11689406,1.0,0,0,2015,2014,1,0,2,0,0,0,0
14250906,0.0,0,0,2017,2013,4,0,2,0,0,0,0
11729006,1.0,0,1,2015,2014,1,1,0,0,0,0,0
17925906,1.0,0,0,2020,2012,8,1,2,0,0,1,1
14278706,0.0,0,0,2017,2012,5,0,2,0,0,0,0
15623206,0.0,0,0,2018,2012,6,0,2,0,0,0,0
12990206,0.0,0,0,2016,2012,4,0,2,0,0,0,0
14292406,1.0,0,1,2017,2014,3,1,0,0,0,0,0
12032806,1.0,0,1,2015,2014,1,1,0,0,0,0,0
14319606,1.0,0,1,2017,2014,3,1,0,0,0,0,0
11736806,1.0,0,1,2015,2014,1,1,1,0,0,0,0
11700306,0.0,1,0,2015,2014,1,0,1,0,0,0,0
11697306,0.0,0,1,2015,2014,1,1,1,0,0,0,0
11716806,1.0,0,1,2015,2014,1,1,0,0,0,0,0
12987206,0.0,0,0,2016,2013,3,0,1,0,0,0,0
11692106,0.0,0,0,2015,2013,2,0,1,0,0,0,0
12036406,0.0,1,0,2015,2013,2,0,2,0,0,0,0
11705806,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11707206,0.0,0,1,2015,2014,1,1,0,0,0,0,0
12036806,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11719606,1.0,0,1,2015,2014,1,1,0,0,0,0,0
12031706,0.0,1,1,2015,2014,1,1,0,0,0,0,0
14809006,1.0,0,1,2017,2014,3,0,0,0,0,0,0
11699406,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11717606,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11697406,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11728306,1.0,0,1,2015,2014,1,1,0,0,0,0,0
11746406,1.0,0,1,2015,2014,1,1,0,0,0,0,0
14296206,0.0,0,1,2017,2014,3,1,0,0,0,0,0
11708006,0.0,0,1,2015,2014,1,0,0,0,0,0,0
11728406,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11694606,1.0,1,0,2015,2014,1,0,2,0,0,0,0
11700906,0.0,0,1,2015,2014,1,0,0,0,0,0,0
11677806,0.0,0,1,2015,2014,1,1,0,0,0,0,0
14259806,0.0,0,1,2017,2014,3,1,0,0,0,0,0
11743306,1.0,0,0,2015,2013,2,0,2,0,0,0,0
11699306,1.0,0,1,2015,2014,1,1,1,0,0,0,0
13511506,1.0,0,1,2016,2016,0,1,1,0,0,0,0
15614906,1.0,0,1,2018,2016,2,1,1,0,0,0,0
11695706,0.0,0,0,2015,2013,2,0,2,0,0,0,0
16713806,1.0,0,0,2019,2013,6,0,1,0,0,0,0
11677706,0.0,0,0,2015,2013,2,0,1,0,0,0,0
11736406,1.0,0,1,2015,2015,0,1,1,0,0,0,0
11734806,1.0,0,1,2015,2015,0,1,0,0,0,0,0
12959606,1.0,0,1,2016,2015,1,1,0,0,0,0,0
14315306,0.0,1,1,2017,2013,4,1,0,0,0,0,0
12034606,0.0,0,1,2015,2014,1,1,0,0,0,0,0
12946606,0.0,1,1,2016,2013,3,0,1,0,0,0,0
11718006,0.0,0,1,2015,2014,1,1,1,0,0,0,0
12978406,1.0,0,1,2016,2014,2,1,1,0,0,0,0
11678906,0.0,1,0,2015,2013,2,0,2,0,0,0,0
13015306,0.0,1,0,2016,2013,3,0,2,0,0,0,0
12994406,0.0,0,1,2016,2014,2,0,0,0,0,0,0
18584306,0.0,0,1,2020,2014,6,1,1,0,1,0,0
11737306,0.0,0,1,2015,2014,1,1,0,0,0,0,0
11725906,0.0,0,0,2015,2014,1,0,2,0,0,0,0
12961206,1.0,0,1,2016,2013,3,0,0,0,0,0,0
11688806,0.0,0,1,2015,2014,1,0,0,0,0,0,0
12993406,1.0,0,1,2016,2014,2,0,0,0,0,0,0
12036106,0.0,0,0,2015,2011,4,0,2,0,0,0,0
13013006,1.0,0,0,2016,2013,3,0,2,0,0,0,0
11738906,0.0,0,1,2015,2014,1,0,0,0,0,0,0
16741606,0.0,0,1,2019,2014,5,1,1,0,0,0,0
13521006,0.0,0,1,2016,2014,2,0,0,0,0,0,0
11740706,0.0,0,1,2015,2014,1,0,0,0,0,0,0
11726906,0.0,0,1,2015,2012,3,0,1,0,0,0,0
11736206,1.0,0,1,2015,2013,2,0,0,0,0,0,0
16767606,0.0,1,0,2019,2013,6,0,2,0,0,0,0
11730506,0.0,0,0,2015,2014,1,0,2,0,0,0,0
11694406,1.0,0,0,2015,2014,1,0,2,0,0,0,0
