semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B191,1121506,16713306,,,4.0,1
B191,1121506,16713506,Z,1.0,2.5,1
B181,1121506,16189906,,,4.0,1
B191,1121506,16730306,Z,1.0,2.0,1
B191,1121506,16730506,Z,,4.0,1
B191,1121506,16746406,Z,1.0,2.0,1
B191,1121506,16746606,Z,1.0,2.0,1
B191,1121506,16746706,Z,,4.0,1
B191,1121506,16746906,Z,1.0,2.5,1
B191,1121506,16747006,Z,,4.0,1
B191,1121506,16747306,Z,1.0,3.0,1
B191,1121506,16747506,Z,,4.0,1
B191,1121506,16747406,N,,4.0,1
B191,1121506,16747606,,,4.0,1
B191,1121506,16747706,Z,1.0,2.5,1
B191,1121506,16747806,,,4.0,1
B191,1121506,16746306,Z,1.0,2.0,1
B191,1121506,16747906,Z,1.0,2.5,1
B191,1121506,16748106,Z,,4.0,1
B191,1121506,16748206,,,4.0,1
B191,1121506,16748406,Z,1.0,1.0,1
B191,1121506,16748506,Z,,4.0,1
B191,1121506,16748606,Z,1.0,3.0,1
B191,1121506,16748806,Z,1.0,3.0,1
B191,1121506,16749006,Z,1.0,3.0,1
B191,1121506,16749106,Z,1.0,1.5,1
B191,1121506,16749206,Z,,,1
B191,1121506,16749306,Z,1.0,2.5,1
B191,1121506,16749406,Z,1.0,2.5,1
B191,1121506,16748006,Z,1.0,2.5,1
B191,1121506,16746206,Z,1.0,2.5,1
B191,1121506,16746106,,,4.0,1
B191,1121506,16745906,Z,1.0,2.5,1
B191,1121506,16743206,Z,,4.0,1
B191,1121506,16743306,Z,1.0,3.0,1
B191,1121506,16743406,Z,1.0,3.0,1
B191,1121506,16743506,Z,1.0,1.5,1
B191,1121506,16743606,,,4.0,1
B191,1121506,16743706,Z,1.0,1.0,1
B191,1121506,16743806,Z,1.0,2.0,1
B191,1121506,16743906,,,4.0,1
B191,1121506,16744006,Z,,4.0,1
B191,1121506,16744206,Z,1.0,2.5,1
