semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B101,1431406,3684806,1,1.0,3.0,1
B101,1431406,3686706,1,1.0,3.0,1
B101,1431406,3696606,1,1.0,3.0,1
B101,1431406,3684506,1,1.0,3.0,1
B101,1431406,3694906,1,1.0,2.0,1
B101,1431406,3687406,1,1.0,1.0,1
B101,1431406,3690006,1,1.0,1.0,1
B101,1431406,3691606,1,1.0,2.0,1
B101,1431406,3690406,1,1.0,2.5,1
B101,1431406,3687906,1,1.0,1.0,1
B101,1431406,3694206,1,1.0,2.0,1
B101,1431406,3691106,1,1.0,1.0,1
B101,1431406,3686806,1,1.0,1.0,1
B101,1431406,3696106,1,1.0,2.5,1
B101,1431406,3685106,1,1.0,1.0,1
B101,1431406,3690206,0,0.0,4.0,1
B101,1431406,3687306,1,1.0,1.0,1
B101,1431406,3685706,1,1.0,2.5,1
B121,1435206,5689106,1,1.0,2.0,1
B101,1431406,3683706,1,1.0,3.0,1
B101,1431406,3684006,1,1.0,1.5,1
B101,1431406,3688106,1,1.0,2.0,1
B101,1431406,4332506,1,1.0,2.0,1
B101,1431406,4279106,1,1.0,1.0,1
B101,1431406,4372606,0,0.0,4.0,1
B101,1431406,4017006,1,1.0,1.0,1
B101,1431406,4010806,1,1.0,2.5,1
B101,1431406,4015106,0,0.0,4.0,1
B101,1431406,4099306,0,0.0,4.0,1
B101,1431406,4012406,1,1.0,1.5,1
B101,1431406,4011906,1,1.0,1.5,1
B101,1431406,4011806,0,0.0,4.0,1
B101,1431406,4011706,1,1.0,2.0,1
B101,1431406,4011606,0,0.0,4.0,1
B101,1431406,4017706,1,1.0,1.5,1
B101,1431406,4011506,0,0.0,4.0,1
B101,1431406,4011406,0,0.0,4.0,1
B101,1431406,4011206,0,0.0,4.0,1
B101,1431406,4011006,1,1.0,2.0,1
B101,1431406,4018206,0,0.0,4.0,1
B101,1431406,4010906,1,1.0,2.0,1
B101,1431406,4012306,1,1.0,3.0,1
B101,1431406,3692006,1,1.0,2.0,1
B101,1431406,4017906,1,1.0,2.0,1
