semestr_id,predmet_id,studium_id,zapocteno,zakonceno,znamka,poradi_zapisu
B172,4643006,14294106,Z,1.0,1.5,1
B172,4643006,14309306,Z,1.0,1.5,1
B172,4643006,14317406,,,4.0,1
B172,4643006,14285106,Z,1.0,1.5,1
B172,4643006,14273706,Z,1.0,2.0,1
B172,4643006,14269306,Z,,4.0,1
B172,4643006,14248606,Z,1.0,2.0,1
B172,4643006,14274506,Z,1.0,3.0,1
B172,4643006,14793006,Z,1.0,1.5,1
B172,4643006,14312806,Z,1.0,2.0,1
B172,4643006,14240706,Z,1.0,2.0,1
B192,4643006,16699806,Z,1.0,2.0,1
B162,4643006,13031906,Z,1.0,2.0,1
B162,4643006,13030206,Z,,4.0,1
B162,4643006,13029106,Z,1.0,1.0,1
B162,4643006,13020106,Z,1.0,1.5,1
B162,4643006,13034506,Z,,4.0,1
B162,4643006,13020606,Z,1.0,1.5,1
B162,4643006,13018806,Z,1.0,1.5,1
B162,4643006,13502806,Z,,4.0,1
B162,4643006,13019606,Z,,4.0,1
B162,4643006,13030106,Z,1.0,2.0,1
B162,4643006,13024906,Z,,4.0,1
B162,4643006,13017706,Z,1.0,2.0,1
B162,4643006,13019506,Z,1.0,2.0,1
B162,4643006,13033506,Z,,4.0,1
B162,4643006,13501706,Z,1.0,2.0,1
B162,4643006,13030006,Z,,4.0,1
B162,4643006,13033306,Z,1.0,2.0,1
B162,4643006,13502606,Z,,4.0,1
B162,4643006,13018906,Z,,4.0,1
B172,4643006,14289006,,,4.0,1
B172,4643006,14317006,Z,1.0,1.0,1
B172,4643006,14247606,Z,,4.0,1
B172,4643006,14280506,Z,1.0,2.0,1
B172,4643006,13024306,Z,1.0,2.0,1
B172,4643006,14321206,Z,1.0,1.5,1
B172,4643006,13017006,Z,1.0,1.5,1
B172,4643006,14793706,Z,1.0,1.5,1
B172,4643006,14283206,Z,1.0,2.5,1
B172,4643006,14794806,Z,1.0,2.0,1
B172,4643006,14792806,Z,,4.0,1
B172,4643006,14298506,,,4.0,1
B172,4643006,14293806,Z,1.0,1.5,1
B172,4643006,14260806,Z,1.0,1.0,1
B172,4643006,14299306,Z,1.0,2.0,1
B172,4643006,14795406,Z,1.0,1.5,1
B172,4643006,14287406,Z,1.0,2.0,1
B172,4643006,14252506,Z,1.0,1.5,1
B172,4643006,14288506,Z,1.0,1.5,1
B172,4643006,14283106,Z,1.0,1.5,1
B172,4643006,14310406,Z,1.0,2.0,1
B172,4643006,13032306,Z,1.0,2.0,1
B162,4643006,13018406,Z,1.0,1.5,1
B172,4643006,13017406,Z,1.0,1.5,1
B172,4643006,14792606,Z,1.0,2.0,1
B172,4643006,14292106,Z,,4.0,1
B172,4643006,14319406,Z,1.0,1.5,1
B172,4643006,14275806,Z,1.0,1.5,1
B172,4643006,14794706,Z,1.0,2.0,1
B172,4643006,14286606,Z,1.0,1.5,1
B172,4643006,14257906,Z,1.0,1.5,1
B172,4643006,14248506,Z,1.0,2.0,1
B172,4643006,14294506,Z,1.0,2.0,1
B172,4643006,14303406,Z,1.0,1.5,1
