studium_id,dokoncil_semestr,BI-PA1_znamka,BI-PA1_poradi_zapisu,BI-PA1_semestr,BI-PAI_znamka,BI-PAI_poradi_zapisu,BI-PAI_semestr,BI-CAO_znamka,BI-CAO_poradi_zapisu,BI-CAO_semestr,BI-PS1_znamka,BI-PS1_poradi_zapisu,BI-PS1_semestr,BI-MLO_znamka,BI-MLO_poradi_zapisu,BI-MLO_semestr,BI-ZMA_znamka,BI-ZMA_poradi_zapisu,BI-ZMA_semestr,pocet_kreditu_semestr_1,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti
11710206,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,28.0,0,1,2015,2013,2,0,1,0,0,0,0
12031806,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,21.0,0,1,2015,2013,2,1,0,0,0,0,0
13015206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,17.0,0,1,2016,2013,3,1,1,0,0,0,0
11712806,1.0,2.5,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,1.0,30.0,0,1,2015,2013,2,0,1,0,0,0,0
15563206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0,1,2018,2013,5,1,1,0,0,0,0
11685106,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,30.0,0,1,2015,2013,2,1,1,0,0,0,0
11699506,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,2.0,1.0,1.0,35.0,0,1,2015,2013,2,0,0,0,0,0,0
13011306,0.0,2.5,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,19.0,0,0,2016,2013,3,0,1,0,0,0,0
11695506,0.0,3.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,0.0,0.0,0.0,2.5,1.0,1.0,20.0,0,1,2015,2013,2,0,1,0,0,0,0
13520206,1.0,2.5,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,30.0,0,1,2016,2013,3,1,0,0,0,0,0
11695006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.5,1.0,1.0,27.0,0,1,2015,2013,2,0,0,0,0,0,0
