studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP,prumer
17942906,2.0,1.5,1.0,2.5,2.0,4.0,4.0,1.5,1.0,4.0,4.0,4.0,4.0,,,,,,,,2.730769230769231
17931006,4.0,2.5,3.0,2.0,4.0,4.0,4.0,4.0,1.5,4.0,,,,,,,,,,,3.3
16728606,3.0,2.0,1.0,1.5,1.5,2.0,2.5,2.0,2.5,,4.0,4.0,4.0,2.5,4.0,4.0,,,,1.5,2.625
16766206,1.5,,,,,2.0,1.0,1.0,1.0,2.0,2.5,3.0,4.0,2.5,1.0,1.5,4.0,,4.0,4.0,2.3333333333333335
16754006,4.0,2.5,2.5,3.0,2.5,4.0,4.0,2.5,2.5,2.5,,2.5,4.0,4.0,,4.0,,,4.0,,3.2333333333333334
16719906,4.0,1.5,1.5,3.0,2.5,2.0,4.0,2.0,3.0,2.5,4.0,4.0,4.0,,4.0,4.0,,,,,3.066666666666667
16772806,,,,1.0,,,,1.0,,2.5,,,2.0,2.0,,,2.5,2.5,2.0,,1.9375
15566206,2.0,2.0,1.0,2.0,3.0,1.5,1.5,1.5,2.5,3.0,3.0,1.5,2.0,2.5,2.5,2.5,1.5,1.0,1.5,2.0,2.0
15573806,1.0,2.5,1.0,2.0,1.5,2.0,2.0,1.5,2.5,3.0,2.0,1.5,3.0,2.5,2.0,2.5,2.0,1.0,1.5,1.0,1.9
15590406,3.0,2.5,1.0,3.0,1.5,2.0,2.0,1.5,2.0,2.5,3.0,2.0,2.5,2.5,2.5,1.5,2.0,1.0,1.5,1.5,2.05
15574306,2.5,2.0,1.0,2.0,2.0,2.0,2.5,2.0,1.0,2.5,2.5,1.5,2.5,1.5,2.0,2.0,2.5,1.5,1.5,1.0,1.9
15586106,3.0,2.0,,2.5,2.0,2.0,2.5,3.0,1.0,3.0,2.5,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.5,2.0,2.210526315789474
14310206,2.5,2.0,2.0,3.0,3.0,2.5,2.0,2.5,3.0,3.0,3.0,2.0,2.5,2.5,3.0,2.0,2.0,1.0,2.5,1.0,2.35
14317806,3.0,2.5,1.0,2.5,2.5,2.0,2.0,3.0,2.0,3.0,2.5,3.0,2.5,1.0,2.5,2.0,2.0,1.0,1.5,1.0,2.125
15607406,2.5,2.0,1.0,2.5,2.0,2.5,2.0,1.5,1.0,2.5,2.5,1.0,2.0,1.0,1.5,1.5,2.0,1.0,1.5,1.5,1.75
15560706,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,1.0,2.0,3.0,1.5,2.0,1.5,2.0,2.0,1.5,1.0,2.5,1.0,1.775
15562806,1.5,3.0,1.0,2.5,2.0,2.0,3.0,1.0,2.0,2.5,3.0,1.5,2.5,2.5,2.5,2.5,1.5,1.0,1.0,2.0,2.025
15560406,1.0,2.5,1.5,1.5,2.5,1.5,1.0,1.0,1.5,2.0,1.0,1.5,2.5,1.0,1.5,1.0,2.5,1.0,1.5,1.5,1.55
15614106,2.5,2.5,1.0,3.0,1.5,1.5,1.0,1.0,1.0,2.5,1.5,1.5,2.0,1.0,2.0,2.0,1.5,1.5,1.0,1.5,1.65
