studium_id,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
17943606,1.0,2.0,1.0,1.5,4.0,2.5,2.0,2.5,2.5,4.0,4.0,4.0,4.0,,,,,,,
16735006,2.5,2.5,,1.0,,4.0,4.0,,,4.0,,4.0,4.0,,4.0,,,,,
17916806,4.0,1.0,1.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
16728206,3.0,2.0,1.0,2.0,2.0,2.5,4.0,1.5,2.5,4.0,4.0,4.0,4.0,,4.0,4.0,,,,
17919806,,1.5,1.0,2.5,4.0,,4.0,4.0,4.0,4.0,,,,,,,,,,
17325406,3.0,2.5,,,,2.5,2.5,,,4.0,4.0,2.0,4.0,,,4.0,,,,
18587606,,1.5,,3.0,2.5,4.0,4.0,4.0,,4.0,,,,,,,,,,2.0
18587706,,2.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,
18603306,4.0,,,2.5,,2.0,4.0,,,,4.0,4.0,,4.0,,,4.0,,,1.0
18581506,2.0,1.5,1.0,2.5,4.0,2.5,1.5,1.5,2.0,4.0,4.0,4.0,4.0,,,,,,,
15560906,2.0,3.0,1.5,2.5,2.5,2.5,1.0,2.0,2.5,3.0,2.5,4.0,2.5,4.0,3.0,2.5,,,4.0,
16751806,4.0,3.0,1.0,2.5,1.5,1.5,4.0,1.5,2.0,2.5,4.0,2.5,2.5,,3.0,2.0,4.0,,4.0,4.0
16720206,2.5,2.0,1.5,1.5,1.5,2.5,4.0,2.5,1.5,4.0,,,4.0,,2.5,2.0,,,,1.5
17327106,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,,,,
14321806,2.0,2.0,1.0,2.0,1.5,1.0,1.5,2.0,1.0,2.0,1.5,1.5,2.5,1.0,2.0,1.5,1.0,1.0,1.0,1.0
16728806,,,,,,,1.0,,,2.5,3.0,,2.0,2.5,3.0,3.0,2.5,1.0,,1.0
14798306,3.0,2.5,1.0,3.0,1.5,1.0,1.0,1.5,1.0,2.0,1.0,1.5,2.0,2.5,2.0,2.0,2.5,2.5,3.0,1.5
