studium_id,pohlavi_kod,je_cech,datum_zahajeni,rok_maturity,maturita_nastup_rozdil,gymnazium,praha,scio,olym,zkouska,prominuti,dostudoval_uspesne,BI-PA1,BI-PAI,BI-CAO,BI-PS1,BI-MLO,BI-ZMA,BI-PA2,BI-DBS,BI-SAP,BI-LIN,BI-AG1,BI-AAG,BI-ZDM,BI-OSY,BI-PSI,BI-BEZ,BI-PST,BI-DPR,BI-SI1.2,BI-EMP
11686106,0,1,2015,2012,3,1,0,0,0,0,0,1,2.5,2.5,1.0,2.0,2.0,2.0,2.5,1.5,2.0,2.5,,2.0,2.0,3.0,2.0,2.0,2.0,1.5,2.5,1.0
11692606,0,1,2015,2012,3,0,1,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
13013306,0,1,2016,2012,4,1,0,0,0,0,0,1,1.5,1.5,1.0,1.0,1.5,2.0,1.0,2.0,1.0,2.5,1.0,1.0,2.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0
11713906,0,1,2015,2012,3,1,1,0,0,0,0,0,1.5,3.0,2.0,2.0,2.0,2.0,,4.0,,,,4.0,4.0,,,,,,,
12978506,0,1,2016,2012,4,1,1,0,0,0,0,1,2.0,2.5,1.0,2.0,2.0,2.0,1.5,2.0,2.5,3.0,4.0,2.5,2.5,3.0,2.5,2.5,2.5,2.5,2.0,1.5
14283706,0,1,2017,2012,5,1,0,0,0,0,0,1,2.0,2.0,1.0,2.5,1.0,1.5,2.5,2.5,1.0,2.5,2.0,1.5,2.0,2.5,2.5,1.5,2.0,2.0,2.0,1.5
11736706,0,1,2015,2012,3,1,0,0,0,0,0,0,2.5,2.5,1.5,2.5,2.0,4.0,2.5,2.5,1.0,4.0,,4.0,4.0,3.0,4.0,,4.0,1.0,2.5,1.5
11676006,0,1,2015,2012,3,1,1,0,0,0,0,0,2.5,2.5,2.5,2.0,1.5,2.5,4.0,4.0,1.0,4.0,,4.0,4.0,4.0,2.0,4.0,4.0,,1.5,1.5
12033706,0,1,2015,2012,3,1,0,0,0,0,0,1,1.5,2.0,2.0,1.0,2.5,2.5,1.5,2.0,1.0,2.5,,2.0,2.5,2.5,2.0,2.0,2.5,1.0,2.0,1.5
12964506,0,1,2016,2012,4,0,0,0,0,0,0,0,2.0,2.0,1.5,2.5,2.0,4.0,4.0,2.0,1.5,4.0,4.0,2.0,4.0,4.0,4.0,4.0,,,2.5,4.0
16724706,0,1,2019,2012,7,1,0,0,0,0,0,0,2.5,1.5,1.0,2.5,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,,2.0,2.5,2.5,,,
12954706,0,1,2016,2012,4,1,0,0,0,0,0,0,2.5,3.0,2.5,2.0,2.5,2.5,4.0,2.0,1.5,4.0,4.0,3.0,4.0,3.0,3.0,2.5,4.0,1.0,2.5,1.5
12034706,0,0,2015,2012,3,0,-1,0,0,0,0,1,2.5,2.0,1.0,3.0,2.0,2.5,2.5,2.5,2.5,3.0,,2.5,2.5,3.0,3.0,3.0,2.5,2.5,2.5,2.5
12959206,0,1,2016,2012,4,0,0,0,0,0,0,0,1.5,2.5,1.0,2.5,2.5,1.5,1.0,2.5,1.0,2.5,,2.5,2.5,4.0,2.5,2.5,2.0,1.5,2.5,2.0
14803806,0,1,2017,2012,5,0,0,0,0,0,0,0,1.5,2.5,1.0,2.5,2.5,1.5,1.0,2.5,1.0,2.5,,2.5,2.5,,2.5,2.5,2.0,1.5,2.5,2.0
11733706,0,1,2015,2012,3,0,1,0,0,0,0,1,2.0,2.0,1.0,2.0,2.5,2.5,2.0,2.0,1.0,3.0,,3.0,2.0,2.5,2.5,2.5,3.0,1.0,2.0,2.5
11707706,0,1,2015,2012,3,1,1,0,0,0,0,0,2.5,2.5,2.5,2.0,2.5,4.0,,2.0,,,,4.0,,2.5,2.5,,,,,
12032006,0,1,2015,2012,3,0,1,0,0,0,0,1,2.0,2.5,1.0,2.5,2.0,2.5,2.0,2.0,1.0,3.0,,2.5,2.5,3.0,2.0,3.0,3.0,2.0,3.0,1.0
12997606,0,0,2016,2012,4,0,-1,0,0,0,0,1,2.5,2.5,2.0,1.5,2.0,1.5,2.0,2.5,1.5,2.0,2.0,2.5,2.5,3.0,2.0,2.0,2.5,1.5,2.5,1.5
11735706,0,1,2015,2012,3,1,1,0,0,0,0,1,2.5,2.0,2.5,2.5,2.0,1.5,2.5,2.0,1.0,2.5,,2.5,2.5,2.5,2.5,2.5,2.0,1.0,1.5,1.5
11744806,0,1,2015,2012,3,1,0,0,0,0,0,1,2.5,1.5,1.0,2.0,1.5,2.5,2.5,2.5,1.5,2.5,,2.5,2.0,3.0,1.5,2.0,2.5,1.0,2.0,1.0
11685906,0,1,2015,2012,3,1,0,0,0,0,0,0,1.0,2.5,1.0,2.0,2.5,2.0,2.0,2.5,3.0,4.0,,1.5,3.0,2.5,4.0,2.5,4.0,1.5,1.5,1.0
11699606,0,1,2015,2012,3,1,1,0,0,0,0,0,2.5,2.0,2.5,2.0,1.5,2.0,4.0,2.5,2.0,4.0,,2.0,4.0,4.0,4.0,4.0,4.0,,2.5,1.5
13009606,0,1,2016,2012,4,1,1,0,0,0,0,1,2.5,2.0,2.5,2.0,1.5,2.0,2.5,2.5,2.0,3.0,,2.0,2.0,2.5,2.0,2.5,2.0,1.0,2.5,1.5
11733106,0,1,2015,2012,3,0,0,0,0,0,0,1,2.0,3.0,2.0,1.0,2.5,2.5,1.0,2.5,1.5,1.5,,1.5,2.0,2.0,2.5,2.0,2.5,1.5,2.5,1.5
11693106,0,1,2015,2012,3,0,1,0,0,0,0,0,2.5,3.0,1.0,2.5,2.0,4.0,4.0,2.5,2.0,4.0,,,,,,,,,2.0,
12987106,0,0,2016,2012,4,0,-1,0,0,0,0,1,2.0,2.5,2.5,2.0,2.0,2.5,2.5,2.5,1.0,2.0,,2.0,2.5,3.0,2.5,2.5,3.0,1.5,2.0,2.0
11746506,0,1,2015,2012,3,1,0,0,0,0,0,1,1.5,2.0,2.0,2.5,2.5,2.5,2.5,2.0,2.5,2.5,,2.5,2.5,3.0,2.0,3.0,2.5,2.5,2.0,1.5
13001306,0,1,2016,2012,4,0,1,0,0,0,0,1,2.5,2.0,2.0,1.5,2.0,2.0,2.0,2.0,1.5,2.5,,2.5,2.5,1.5,2.5,2.5,2.0,1.5,2.0,2.0
14247106,0,1,2017,2011,6,0,1,0,0,0,0,0,1.5,2.0,1.0,2.0,2.5,3.0,2.0,2.0,1.5,3.0,3.0,2.5,3.0,2.5,2.5,2.5,3.0,1.0,1.5,1.0
11700606,0,1,2015,2012,3,1,1,0,0,0,0,1,2.0,2.5,1.0,2.5,2.0,1.5,2.5,2.5,1.0,2.5,2.5,2.5,2.5,3.0,2.0,3.0,3.0,1.5,2.0,1.5
11696206,1,1,2015,2012,3,1,0,0,0,0,0,0,2.5,3.0,2.5,2.5,1.0,2.5,4.0,2.0,2.5,2.5,,1.5,2.0,4.0,4.0,3.0,2.0,4.0,3.0,2.0
13519306,0,1,2016,2012,4,1,0,0,0,0,0,1,2.0,2.5,2.0,2.5,2.5,2.0,2.5,2.5,2.0,3.0,,2.5,2.5,2.0,2.0,2.5,2.0,1.5,2.5,1.5
11680406,0,0,2015,2012,3,0,-1,0,0,0,0,1,2.5,2.0,1.0,2.0,1.0,2.5,1.5,2.5,2.0,2.0,,1.0,2.5,3.0,1.5,2.5,2.5,1.0,2.5,1.5
11695406,0,1,2015,2012,3,0,0,0,0,0,0,1,2.5,2.0,2.0,2.5,2.5,2.5,3.0,2.5,2.5,2.0,,2.5,2.5,3.0,2.5,2.5,3.0,1.0,2.0,1.5
11689306,0,1,2015,2012,3,1,0,0,0,0,0,0,2.5,2.0,2.0,3.0,2.5,4.0,4.0,2.0,4.0,4.0,,4.0,,,4.0,4.0,2.5,,3.0,
11737206,1,1,2015,2015,0,1,0,0,0,0,0,1,1.5,2.0,1.0,3.0,2.0,2.5,1.5,2.0,2.5,2.5,3.0,3.0,2.5,3.0,2.5,3.0,2.0,1.0,1.5,1.5
11674506,0,0,2015,2011,4,0,-1,0,0,0,0,0,3.0,3.0,1.5,2.5,2.5,1.5,2.5,1.5,1.5,2.5,3.0,2.5,2.0,2.0,2.0,1.5,2.0,2.0,2.0,1.5
11739206,0,1,2015,2012,3,1,1,0,0,0,0,0,2.0,2.5,1.5,3.0,1.5,1.0,2.0,1.0,1.0,1.0,1.5,1.5,1.5,4.0,2.0,2.5,2.5,4.0,1.5,1.5
11710006,0,0,2015,2011,4,0,-1,0,0,0,0,0,4.0,2.5,1.5,4.0,2.5,2.5,4.0,4.0,4.0,4.0,,,,,,,,,,
11698306,0,1,2015,2012,3,1,1,0,0,0,0,1,2.0,3.0,1.5,2.0,2.0,2.5,2.5,2.5,1.0,3.0,,1.5,2.5,3.0,2.0,2.0,2.5,1.5,2.5,1.5
11712506,0,1,2015,2012,3,1,0,0,0,0,0,1,2.5,2.0,1.5,2.0,2.5,2.0,3.0,1.5,2.5,3.0,,2.5,2.5,3.0,2.5,3.0,2.5,1.5,2.0,2.0
13014306,0,1,2016,2012,4,1,0,0,0,0,0,0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,
11726106,0,0,2015,2012,3,0,1,0,0,0,0,0,2.0,2.5,1.0,1.0,1.5,4.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,,4.0,,,,,4.0
13014106,0,0,2016,2012,4,0,-1,0,0,0,0,0,2.5,4.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,,,,,,4.0,4.0,,,,
13013106,0,0,2016,2015,1,0,1,0,0,0,0,0,4.0,1.5,1.0,3.0,4.0,2.5,4.0,4.0,4.0,4.0,,,,,,,,,,
14811406,0,1,2017,2013,4,1,0,0,0,0,0,0,1.5,1.5,2.5,1.0,2.5,4.0,2.0,1.5,2.5,4.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,,2.0,1.0
11714506,0,1,2015,2013,2,1,0,0,0,0,0,1,3.0,2.5,1.5,3.0,2.5,2.0,3.0,2.5,2.5,2.5,2.5,1.5,2.5,3.0,2.0,3.0,3.0,1.0,1.5,1.5
11725406,0,1,2015,2013,2,1,1,0,0,0,0,1,1.5,2.5,1.5,1.0,2.0,2.0,2.5,2.5,3.0,3.0,,1.5,2.5,3.0,3.0,2.5,2.5,2.0,2.0,1.5
11734606,0,1,2015,2013,2,1,0,0,0,0,0,0,2.5,4.0,1.0,1.5,2.5,4.0,2.5,2.5,,,,4.0,,,,,,,,
11689506,0,1,2015,2013,2,0,0,0,0,0,0,0,4.0,3.0,1.5,3.0,2.5,2.5,4.0,2.5,2.5,4.0,,,4.0,,,,,,2.0,1.5
11709806,0,0,2015,2013,2,0,-1,0,0,0,0,1,2.5,2.5,1.5,2.5,3.0,2.5,2.5,3.0,1.0,2.5,2.5,2.0,2.5,3.0,2.5,2.5,3.0,2.5,2.0,2.0
11688606,0,0,2015,2013,2,0,-1,0,0,0,0,1,2.5,2.0,1.5,2.0,2.5,2.5,2.5,2.0,2.0,2.5,,1.5,2.5,3.0,2.0,2.0,2.5,2.0,2.5,1.5
11701706,0,1,2015,2013,2,0,1,0,0,0,0,0,2.5,3.0,1.5,2.5,2.5,3.0,2.5,2.0,2.5,4.0,4.0,3.0,2.5,2.5,3.0,3.0,4.0,3.0,2.0,1.0
14246906,0,1,2017,2013,4,0,1,0,0,0,0,1,2.5,2.5,1.5,2.5,2.5,2.5,2.5,2.0,2.5,3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0,2.0,1.0
11722606,0,1,2015,2013,2,0,0,0,0,0,0,1,2.0,2.5,1.0,3.0,2.0,2.0,3.0,2.5,1.0,2.5,,2.0,2.0,3.0,2.5,3.0,4.0,1.0,2.5,2.0
11740406,0,1,2015,2013,2,1,1,0,0,0,0,0,2.5,3.0,1.5,2.5,2.5,2.0,3.0,3.0,2.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,2.0,4.0
14258006,0,1,2017,2013,4,0,0,0,0,0,0,1,2.0,3.0,1.5,2.0,2.0,3.0,2.5,2.0,2.0,3.0,1.0,2.5,2.5,3.0,2.5,2.5,3.0,2.5,2.5,2.5
12958906,0,1,2016,2013,3,1,1,0,0,0,0,1,1.5,2.5,1.5,2.5,2.5,2.5,2.5,2.0,1.0,3.0,2.5,1.5,2.5,3.0,2.5,3.0,2.5,1.0,2.0,1.5
11678306,0,1,2015,2013,2,1,0,0,0,0,0,0,2.0,4.0,1.5,4.0,2.0,,,4.0,,,,,,,,,,,,
11715706,1,1,2015,2013,2,1,0,0,0,0,0,0,3.0,2.5,2.5,3.0,2.0,2.5,2.5,2.5,2.5,2.0,3.0,2.5,2.5,4.0,4.0,3.0,3.0,1.0,2.5,1.5
11745806,0,1,2015,2013,2,1,0,0,0,0,0,0,1.5,3.0,4.0,1.0,4.0,4.0,4.0,4.0,,,,,,4.0,2.0,,,,,
12991006,0,0,2016,2012,4,0,-1,0,0,0,0,1,3.0,3.0,1.0,3.0,2.0,2.0,3.0,2.5,2.0,2.5,2.5,2.5,2.0,3.0,2.5,2.5,2.5,2.5,2.5,2.0
11727606,0,1,2015,2013,2,0,1,0,0,0,0,0,2.0,3.0,1.5,4.0,2.5,2.0,4.0,2.5,1.0,4.0,,4.0,2.5,,2.0,,4.0,4.0,2.0,1.5
14271106,0,1,2017,2013,4,0,0,0,0,0,0,0,1.0,2.5,1.0,2.0,2.5,4.0,2.5,2.0,1.0,,4.0,4.0,4.0,1.5,2.0,,4.0,,2.5,
